threshold,min_consecutive,precision,nfall_precision,recall,f1,accuracy
0.05,1,0.78,0.9944598337950139,0.9982347749338041,0.875725900116144,0.8227498619547211
0.05,3,0.7848716169326856,0.9945945945945946,0.9982347749338041,0.8787878787878788,0.8277194919933738
0.05,5,0.789804469273743,0.9947229551451188,0.9982347749338041,0.8818713450292399,0.8326891220320265
0.1,1,0.7914625612316305,0.9947643979057592,0.9982347749338041,0.8829039812646371,0.8343456653782441
0.1,3,0.8011363636363636,0.9875930521091811,0.9955869373345102,0.8878394332939787,0.8426283821093319
0.1,5,0.8079136690647482,0.9762470308788599,0.9911738746690203,0.8902100673801031,0.8470458310325787
0.15,1,0.8005677785663591,0.9875621890547264,0.9955869373345102,0.8874901652242329,0.842076200993926
0.15,3,0.8139029688631426,0.9790697674418605,0.9920564872021183,0.8941925218774861,0.8531198233020431
0.15,5,0.8246131171702284,0.9691629955947136,0.9876434245366285,0.8987951807228917,0.860850358917725
0.2,1,0.8105187319884726,0.9810874704491725,0.9929390997352162,0.8925029750099166,0.8503589177250138
0.2,3,0.8303571428571429,0.9635974304068522,0.9849955869373345,0.901090028259992,0.864715626725566
0.2,5,0.8460949464012251,0.9445544554455445,0.9752868490732568,0.9061090610906108,0.8735505245720596
0.25,1,0.8223201174743024,0.9710467706013363,0.9885260370697264,0.8977955911823647,0.8591938155715074
0.25,3,0.845565749235474,0.9463220675944334,0.9761694616063548,0.9061859893486276,0.8735505245720596
0.25,5,0.8596078431372549,0.9309701492537313,0.9673433362753752,0.9102990033222592,0.8807288790723358
0.3,1,0.8332086761406133,0.959915611814346,0.9832303618711385,0.9020242914979757,0.8663721700717836
0.3,3,0.8613938919342208,0.9382022471910112,0.970873786407767,0.9128630705394191,0.8840419657647709
0.3,5,0.8783673469387755,0.9027303754266212,0.9496910856134158,0.912637828668363,0.8862506902263942
0.35,1,0.8490421455938697,0.950592885375494,0.9779346866725508,0.9089417555373257,0.8774157923799006
0.35,3,0.8789093825180433,0.9343971631205674,0.9673433362753752,0.9210084033613446,0.8961899503036996
0.35,5,0.9002557544757033,0.8793103448275862,0.9320388349514563,0.9158716392020815,0.8928768636112645
0.39999999999999997,1,0.8621769772905247,0.9400749063670412,0.971756398940865,0.9136929460580913,0.8851463279955826
0.39999999999999997,3,0.8933884297520661,0.913477537437604,0.9541041482789056,0.922748612889458,0.9000552181115405
0.39999999999999997,5,0.9195710455764075,0.8497109826589595,0.9082082965578111,0.9138543516873889,0.8928768636112645
0.44999999999999996,1,0.8730031948881789,0.9284436493738819,0.9646954986760812,0.9165618448637316,0.8901159580342353
0.44999999999999996,3,0.9045183290707587,0.8871473354231975,0.9364518976169461,0.9202081526452731,0.898398674765323
0.44999999999999996,5,0.9350893697083725,0.8141711229946524,0.8773168578993822,0.9052823315118397,0.8851463279955826
0.49999999999999994,1,0.8792544570502431,0.9168110918544194,0.9576345984112974,0.9167722855935784,0.8912203202650469
0.49999999999999994,3,0.9223907225691347,0.8565217391304348,0.912621359223301,0.9174800354924578,0.8972943125345113
0.49999999999999994,5,0.950950950950951,0.7746305418719212,0.8384819064430715,0.8911819887429643,0.871893981225842
0.5499999999999999,1,0.8967254408060453,0.8951612903225806,0.942630185348632,0.919104991394148,0.8961899503036996
0.5499999999999999,3,0.9368029739776952,0.8299319727891157,0.8896734333627537,0.9126301493888638,0.8934290447266704
0.5499999999999999,5,0.9616580310880829,0.7576832151300237,0.8190644307149162,0.8846520495710201,0.8663721700717836
0.6,1,0.9104991394148021,0.884437596302003,0.9338040600176523,0.922004357298475,0.9011595803423523
0.6,3,0.946360153256705,0.8109517601043025,0.8720211827007943,0.9076711070280202,0.8890115958034235
0.6,5,0.9677072120559742,0.7346938775510204,0.793468667255075,0.871968962172648,0.8542241855328547
0.65,1,0.920774647887324,0.8711111111111111,0.9232127096204766,0.9219920669898635,0.902263942573164
0.65,3,0.9584158415841584,0.7940074906367042,0.8543689320388349,0.9034064395706951,0.8856985091109884
0.65,5,0.9718468468468469,0.7074756229685807,0.7616946160635482,0.8540326571004453,0.8371065709552733
0.7,1,0.935513169845595,0.8549295774647887,0.9090909090909091,0.9221128021486124,0.9039204859193816
0.7,3,0.9618949536560247,0.763095238095238,0.824360105913504,0.8878326996197718,0.8696852567642187
0.7,5,0.9739952718676123,0.6797927461139897,0.7272727272727273,0.8327438100050532,0.8172280508006626
0.75,1,0.9401309635173059,0.8274932614555256,0.8870255957634599,0.9128065395095367,0.8939812258420762
0.75,3,0.9699248120300752,0.7386363636363636,0.7969991173874669,0.875,0.8575372722252899
0.75,5,0.9766009852216748,0.6596596596596597,0.6999117387466902,0.8154241645244216,0.8017669795692988
0.7999999999999999,1,0.9519607843137254,0.7951959544879899,0.8570167696381289,0.9019972131908965,0.883489784649365
0.7999999999999999,3,0.9742152466367713,0.7127312295973884,0.7669902912621359,0.8582716049382717,0.8415240198785201
0.7999999999999999,5,0.979381443298969,0.6396135265700483,0.6707855251544572,0.7962283918281823,0.7852015461071231
0.85,1,0.9631147540983607,0.7688622754491018,0.8296557811120918,0.8914177335229967,0.8735505245720596
0.85,3,0.9799764428739693,0.6871101871101871,0.7343336275375111,0.8395560040363269,0.8244064053009387
0.85,5,0.9832869080779945,0.6093321134492223,0.6231244483671668,0.7628309022150189,0.7575924903368305
0.9,1,0.9780461031833151,0.7311111111111112,0.7864077669902912,0.8718199608610567,0.8553285477636665
0.9,3,0.9807938540332907,0.6436893203883495,0.676081200353045,0.8004179728317659,0.7890668139149641
0.9,5,0.9845201238390093,0.5733905579399141,0.5613415710503089,0.715008431703204,0.7200441744892324
0.95,1,0.9839901477832512,0.6656656656656657,0.705207413945278,0.8215938303341903,0.8083931529541689
0.95,3,0.9863842662632375,0.5817391304347826,0.5754633715798765,0.7268673355629877,0.729431253451132
0.95,5,0.9904942965779467,0.5237354085603113,0.45984112974404234,0.6280892103676913,0.6593042517945886
