video_id,window_start_frame,window_start_sec,score,rank_in_video,feature_set,target_steps,source_split
00030_H_A_N_C5,318,5.304999828338623,0.66695636510849,1,kp7,40,val
00030_H_A_N_C5,312,5.204999923706055,0.6565325260162354,2,kp7,40,val
00030_H_A_N_C5,288,4.804999828338623,0.6479071974754333,3,kp7,40,val
00030_H_A_N_C5,282,4.704999923706055,0.647291898727417,4,kp7,40,val
00030_H_A_N_C5,306,5.105000019073486,0.6405988931655884,5,kp7,40,val
00030_H_A_N_C5,294,4.90500020980835,0.6364491581916809,6,kp7,40,val
00030_H_A_N_C5,300,5.005000114440918,0.627002477645874,7,kp7,40,val
00030_H_A_N_C5,324,5.40500020980835,0.6253320574760437,8,kp7,40,val
00030_H_A_N_C5,276,4.605000019073486,0.623531699180603,9,kp7,40,val
00030_H_A_N_C5,342,5.705999851226807,0.5580111742019653,10,kp7,40,val
00030_H_A_N_C5,270,4.505000114440918,0.5421574711799622,11,kp7,40,val
00030_H_A_N_C5,348,5.806000232696533,0.5104176998138428,12,kp7,40,val
00030_H_A_N_C5,330,5.50600004196167,0.4731829762458801,13,kp7,40,val
00030_H_A_N_C5,336,5.605999946594238,0.46450725197792053,14,kp7,40,val
00030_H_A_N_C5,264,4.4039998054504395,0.462787926197052,15,kp7,40,val
00030_H_A_N_C5,354,5.906000137329102,0.458606094121933,16,kp7,40,val
00030_H_A_N_C5,180,3.003000020980835,0.4317811131477356,17,kp7,40,val
00065_H_A_N_C8,306,5.105000019073486,0.7365017533302307,1,kp7,40,val
00065_H_A_N_C8,312,5.204999923706055,0.7256208062171936,2,kp7,40,val
00065_H_A_N_C8,318,5.304999828338623,0.7227874994277954,3,kp7,40,val
00065_H_A_N_C8,276,4.605000019073486,0.7043439149856567,4,kp7,40,val
00065_H_A_N_C8,270,4.505000114440918,0.6965159177780151,5,kp7,40,val
00065_H_A_N_C8,294,4.90500020980835,0.6871927976608276,6,kp7,40,val
00065_H_A_N_C8,300,5.005000114440918,0.6845355033874512,7,kp7,40,val
00065_H_A_N_C8,324,5.40500020980835,0.6788161396980286,8,kp7,40,val
00065_H_A_N_C8,282,4.704999923706055,0.6705970168113708,9,kp7,40,val
00065_H_A_N_C8,288,4.804999828338623,0.6346694231033325,10,kp7,40,val
00065_H_A_N_C8,330,5.50600004196167,0.6344085335731506,11,kp7,40,val
00065_H_A_N_C8,258,4.303999900817871,0.615239679813385,12,kp7,40,val
00065_H_A_N_C8,240,4.004000186920166,0.6060618758201599,13,kp7,40,val
00065_H_A_N_C8,234,3.9040000438690186,0.6025450229644775,14,kp7,40,val
00065_H_A_N_C8,264,4.4039998054504395,0.6005218029022217,15,kp7,40,val
00065_H_A_N_C8,252,4.203999996185303,0.5986169576644897,16,kp7,40,val
00065_H_A_N_C8,228,3.803999900817871,0.5960598587989807,17,kp7,40,val
00065_H_A_N_C8,246,4.104000091552734,0.5571423768997192,18,kp7,40,val
00065_H_A_N_C8,222,3.7039999961853027,0.48533234000205994,19,kp7,40,val
00065_H_A_N_C8,210,3.503999948501587,0.4538491368293762,20,kp7,40,val
00065_H_A_N_C8,336,5.605999946594238,0.4311884641647339,21,kp7,40,val
00065_H_A_N_C8,348,5.806000232696533,0.41671469807624817,22,kp7,40,val
00065_H_A_N_C8,216,3.6040000915527344,0.4033992886543274,23,kp7,40,val
00065_H_A_N_C8,342,5.705999851226807,0.40089190006256104,24,kp7,40,val
00103_H_A_N_C5,294,4.90500020980835,0.647545337677002,1,kp7,40,val
00103_H_A_N_C5,288,4.804999828338623,0.6311050653457642,2,kp7,40,val
00103_H_A_N_C5,258,4.303999900817871,0.6152886748313904,3,kp7,40,val
00103_H_A_N_C5,300,5.005000114440918,0.6131413578987122,4,kp7,40,val
00103_H_A_N_C5,264,4.4039998054504395,0.6129992008209229,5,kp7,40,val
00103_H_A_N_C5,252,4.203999996185303,0.6067487597465515,6,kp7,40,val
00103_H_A_N_C5,270,4.505000114440918,0.6034520864486694,7,kp7,40,val
00103_H_A_N_C5,276,4.605000019073486,0.6005859375,8,kp7,40,val
00103_H_A_N_C5,246,4.104000091552734,0.5842691659927368,9,kp7,40,val
00103_H_A_N_C5,282,4.704999923706055,0.5834527611732483,10,kp7,40,val
00103_H_A_N_C5,306,5.105000019073486,0.5724988579750061,11,kp7,40,val
00103_H_A_N_C5,240,4.004000186920166,0.5481385588645935,12,kp7,40,val
00103_H_A_N_C5,312,5.204999923706055,0.5423896312713623,13,kp7,40,val
00103_H_A_N_C5,348,5.806000232696533,0.5376756191253662,14,kp7,40,val
00103_H_A_N_C5,354,5.906000137329102,0.5220281481742859,15,kp7,40,val
00103_H_A_N_C5,234,3.9040000438690186,0.5036651492118835,16,kp7,40,val
00103_H_A_N_C5,342,5.705999851226807,0.464449942111969,17,kp7,40,val
00103_H_A_N_C5,360,6.00600004196167,0.4606040120124817,18,kp7,40,val
00103_H_A_N_C5,318,5.304999828338623,0.4570145308971405,19,kp7,40,val
00103_H_A_N_C5,228,3.803999900817871,0.43254217505455017,20,kp7,40,val
00121_H_A_N_C5,222,3.7039999961853027,0.7208274602890015,1,kp7,40,val
00121_H_A_N_C5,228,3.803999900817871,0.7180001139640808,2,kp7,40,val
00121_H_A_N_C5,216,3.6040000915527344,0.6935272812843323,3,kp7,40,val
00121_H_A_N_C5,210,3.503999948501587,0.6410780549049377,4,kp7,40,val
00121_H_A_N_C5,258,4.303999900817871,0.6255847811698914,5,kp7,40,val
00121_H_A_N_C5,270,4.505000114440918,0.6051831841468811,6,kp7,40,val
00121_H_A_N_C5,276,4.605000019073486,0.6004055142402649,7,kp7,40,val
00121_H_A_N_C5,264,4.4039998054504395,0.5967280268669128,8,kp7,40,val
00121_H_A_N_C5,252,4.203999996185303,0.583345353603363,9,kp7,40,val
