video_id,true_label,pred_label,direction,max_score,top3_mean,top5_mean,positive_count,positive_ratio,max_consecutive,first_positive_window,last_positive_window,mean_keypoint_confidence,min_keypoint_confidence
00001_H_A_SY_C6,1,0,SY,0.4623430371284485,0.4505783021450043,0.433725506067276,0,0.0,0,-1,-1,0.41818649667065316,0.3261040449142456
00001_H_A_SY_C7,1,0,SY,0.49755001068115234,0.4429726302623749,0.4030429720878601,0,0.0,0,-1,-1,0.4881243880202131,0.34373217821121216
00001_H_A_SY_C8,1,0,SY,0.38949376344680786,0.3719213902950287,0.35912585258483887,0,0.0,0,-1,-1,0.49651106319776395,0.2913268506526947
00005_H_A_N_C8,0,0,N,0.3279537856578827,0.32546505331993103,0.31763380765914917,0,0.0,0,-1,-1,0.5128935139353682,0.38824906945228577
00006_H_A_N_C5,0,0,N,0.2956122159957886,0.2887772023677826,0.2765219509601593,0,0.0,0,-1,-1,0.37620258985496147,0.33288735151290894
00007_H_A_FY_C7,1,1,FY,0.9802276492118835,0.9799890518188477,0.9796306490898132,25,0.6097560975609756,25,9,33,0.565727248424437,0.5147669911384583
00007_H_A_FY_C8,1,1,FY,0.9713717103004456,0.9710718989372253,0.9702939987182617,20,0.4878048780487805,20,9,28,0.4234851918569425,0.29706045985221863
00009_H_A_N_C7,0,0,N,0.20407183468341827,0.1952143758535385,0.18783210217952728,0,0.0,0,-1,-1,0.6270164760147653,0.5789756774902344
00010_H_A_N_C6,0,0,N,0.21650266647338867,0.2095329612493515,0.19674156606197357,0,0.0,0,-1,-1,0.5020748478610341,0.45328253507614136
00012_H_A_SY_C6,1,1,SY,0.9644201993942261,0.9634928703308105,0.9630162119865417,23,0.5609756097560976,23,8,30,0.5064547839688092,0.45708271861076355
00014_H_A_FY_C5,1,1,FY,0.8934529423713684,0.8837624192237854,0.8731768727302551,18,0.43902439024390244,18,8,25,0.3178588973312843,0.2674866318702698
00014_H_A_FY_C7,1,1,FY,0.9762971997261047,0.9754791855812073,0.9747875332832336,24,0.5853658536585366,24,7,30,0.5806102534619774,0.5583690404891968
00018_H_A_SY_C7,1,1,SY,0.9791364669799805,0.9790448546409607,0.9789393544197083,23,0.5609756097560976,23,11,33,0.39532239662437907,0.15595664083957672
00018_H_A_SY_C8,1,1,SY,0.9764825105667114,0.9763867259025574,0.9762321710586548,27,0.6585365853658537,27,10,36,0.40771858248768783,0.11396806687116623
00019_H_A_N_C8,0,0,N,0.437213659286499,0.41381287574768066,0.39745503664016724,0,0.0,0,-1,-1,0.5857033046280465,0.5265049338340759
00020_H_A_N_C6,0,0,N,0.3216511309146881,0.3000623285770416,0.2831670939922333,0,0.0,0,-1,-1,0.5369350532206093,0.492752343416214
00023_H_A_N_C6,0,0,N,0.19573315978050232,0.19165237247943878,0.18833060562610626,0,0.0,0,-1,-1,0.5695217164551339,0.5218483209609985
00024_H_A_N_C5,0,0,N,0.37684398889541626,0.36816009879112244,0.3613494038581848,0,0.0,0,-1,-1,0.3639907575235134,0.3391890525817871
00024_H_A_N_C8,0,0,N,0.306261271238327,0.29096654057502747,0.28368523716926575,0,0.0,0,-1,-1,0.6331923313257171,0.577888548374176
