rank,rule,params,val_min_pr,val_fall_p,val_nfall_p,val_fall_r,val_nfall_r,val_fp,val_fn,test_min_pr,test_fall_p,test_nfall_p,test_fall_r,test_nfall_r,test_fp,test_fn
1,consecutive,"{""min_consecutive"": 4, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
2,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 2, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
3,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 3, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
4,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 4, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
5,consecutive_ratio,"{""min_consecutive"": 4, ""min_ratio"": 0.03, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
6,consecutive_ratio,"{""min_consecutive"": 4, ""min_ratio"": 0.05, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
7,consecutive_ratio,"{""min_consecutive"": 4, ""min_ratio"": 0.07, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
8,consecutive_ratio,"{""min_consecutive"": 4, ""min_ratio"": 0.09, ""threshold"": 0.475}",0.89375,0.9618834080717489,0.9069767441860465,0.9669421487603306,0.89375,51,44,0.8979591836734694,0.9629080118694362,0.9282700421940928,0.9744744744744744,0.8979591836734694,25,17
9,consecutive_count,"{""min_consecutive"": 1, ""min_count"": 4, ""threshold"": 0.5}",0.89375,0.9617117117117117,0.8956158663883089,0.9624342599549212,0.89375,51,50,0.9102040816326531,0.9671150971599403,0.9214876033057852,0.9714714714714715,0.9102040816326531,22,19
10,consecutive_ratio,"{""min_consecutive"": 1, ""min_ratio"": 0.09, ""threshold"": 0.5}",0.89375,0.9617117117117117,0.8956158663883089,0.9624342599549212,0.89375,51,50,0.9102040816326531,0.9671150971599403,0.9214876033057852,0.9714714714714715,0.9102040816326531,22,19
11,consecutive_count,"{""min_consecutive"": 2, ""min_count"": 4, ""threshold"": 0.5}",0.89375,0.9617117117117117,0.8956158663883089,0.9624342599549212,0.89375,51,50,0.9102040816326531,0.9671150971599403,0.9214876033057852,0.9714714714714715,0.9102040816326531,22,19
12,consecutive_ratio,"{""min_consecutive"": 2, ""min_ratio"": 0.09, ""threshold"": 0.5}",0.89375,0.9617117117117117,0.8956158663883089,0.9624342599549212,0.89375,51,50,0.9102040816326531,0.9671150971599403,0.9214876033057852,0.9714714714714715,0.9102040816326531,22,19
13,hysteresis,"{""high"": 0.525, ""low"": 0.475, ""min_consecutive"": 4}",0.89375,0.9616829451540195,0.89375,0.9616829451540195,0.89375,51,51,0.9102040816326531,0.967016491754123,0.9139344262295082,0.9684684684684685,0.9102040816326531,22,21
14,topk_mean,"{""threshold"": 0.475, ""top_k"": 9}",0.8916666666666667,0.9610486891385768,0.8991596638655462,0.9639368895567243,0.8916666666666667,52,48,0.8938775510204081,0.9615952732644018,0.9358974358974359,0.9774774774774775,0.8938775510204081,26,15
15,topk_mean,"{""threshold"": 0.525, ""top_k"": 5}",0.8916666666666667,0.960960960960961,0.8935281837160751,0.9616829451540195,0.8916666666666667,52,51,0.9142857142857143,0.968609865470852,0.9256198347107438,0.972972972972973,0.9142857142857143,21,18
16,consecutive_count,"{""min_consecutive"": 1, ""min_count"": 5, ""threshold"": 0.475}",0.8916666666666667,0.9609316303531179,0.8916666666666667,0.9609316303531179,0.8916666666666667,52,52,0.8938775510204081,0.9614243323442137,0.9240506329113924,0.972972972972973,0.8938775510204081,26,18
17,consecutive_ratio,"{""min_consecutive"": 1, ""min_ratio"": 0.11, ""threshold"": 0.475}",0.8916666666666667,0.9609316303531179,0.8916666666666667,0.9609316303531179,0.8916666666666667,52,52,0.8938775510204081,0.9614243323442137,0.9240506329113924,0.972972972972973,0.8938775510204081,26,18
18,consecutive_count,"{""min_consecutive"": 2, ""min_count"": 5, ""threshold"": 0.475}",0.8916666666666667,0.9609316303531179,0.8916666666666667,0.9609316303531179,0.8916666666666667,52,52,0.8938775510204081,0.9614243323442137,0.9240506329113924,0.972972972972973,0.8938775510204081,26,18
19,consecutive_ratio,"{""min_consecutive"": 2, ""min_ratio"": 0.11, ""threshold"": 0.475}",0.8916666666666667,0.9609316303531179,0.8916666666666667,0.9609316303531179,0.8916666666666667,52,52,0.8938775510204081,0.9614243323442137,0.9240506329113924,0.972972972972973,0.8938775510204081,26,18
20,topk_mean,"{""threshold"": 0.5, ""top_k"": 7}",0.8916666666666667,0.9609316303531179,0.8916666666666667,0.9609316303531179,0.8916666666666667,52,52,0.9102040816326531,0.9672619047619048,0.9330543933054394,0.975975975975976,0.9102040816326531,22,16
21,consecutive_count,"{""min_consecutive"": 3, ""min_count"": 4, ""threshold"": 0.5}",0.8902691511387164,0.9623493975903614,0.8902691511387164,0.9601803155522164,0.8958333333333334,50,53,0.9142857142857143,0.968562874251497,0.9218106995884774,0.9714714714714715,0.9142857142857143,21,19
22,consecutive_ratio,"{""min_consecutive"": 3, ""min_ratio"": 0.09, ""threshold"": 0.5}",0.8902691511387164,0.9623493975903614,0.8902691511387164,0.9601803155522164,0.8958333333333334,50,53,0.9142857142857143,0.968562874251497,0.9218106995884774,0.9714714714714715,0.9142857142857143,21,19
23,consecutive_count,"{""min_consecutive"": 3, ""min_count"": 5, ""threshold"": 0.475}",0.8898128898128899,0.9609022556390977,0.8898128898128899,0.9601803155522164,0.8916666666666667,52,53,0.8938775510204081,0.9613670133729569,0.9201680672268907,0.9714714714714715,0.8938775510204081,26,19
