threshold,min_consecutive,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,9,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,9,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,9,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.125,1,0.7353591160220995,1.0,1.0,0.0020833333333333333,0.0020833333333333333,0.8475007959248647,0.7355052457205964
0.125,2,0.7357656163626313,1.0,1.0,0.004166666666666667,0.004166666666666667,0.8477707006369426,0.7360574268360022
0.125,3,0.7357656163626313,1.0,1.0,0.004166666666666667,0.004166666666666667,0.8477707006369426,0.7360574268360022
0.125,4,0.7365799667957942,1.0,1.0,0.008333333333333333,0.008333333333333333,0.8483110261312938,0.737161789066814
0.125,5,0.7373961218836566,1.0,1.0,0.0125,0.0125,0.8488520408163266,0.7382661512976256
0.125,7,0.7398554752640356,1.0,1.0,0.025,0.025,0.850479233226837,0.7415792379900608
0.125,9,0.7410913140311804,1.0,1.0,0.03125,0.03125,0.851295171090502,0.7432357813362783
0.15,1,0.7519774011299435,1.0,1.0,0.08541666666666667,0.08541666666666667,0.8584327636246372,0.7575924903368305
0.15,2,0.75625,1.0,1.0,0.10625,0.10625,0.8612099644128113,0.763114301490889
0.15,3,0.7601370645345517,1.0,1.0,0.125,0.125,0.8637248539909149,0.7680839315295417
0.15,4,0.7627507163323782,1.0,1.0,0.1375,0.1375,0.865409622886866,0.7713970182219768
0.15,5,0.7675893886966552,1.0,1.0,0.16041666666666668,0.16041666666666668,0.8685154975530179,0.7774710104914412
0.15,7,0.7783625730994153,1.0,1.0,0.21041666666666667,0.21041666666666667,0.8753699440973365,0.7907233572611817
0.15,9,0.7924865831842576,0.9850746268656716,0.9984973703981969,0.275,0.275,0.8836436170212765,0.8067366096079515
0.175,1,0.7811032863849765,1.0,1.0,0.22291666666666668,0.22291666666666668,0.8771004942339374,0.7940364439536168
0.175,2,0.7885071090047393,1.0,1.0,0.25625,0.25625,0.8817489234845975,0.8028713418001104
0.175,3,0.7922619047619047,1.0,1.0,0.27291666666666664,0.27291666666666664,0.8840916638990368,0.8072887907233572
0.175,4,0.7984403119376124,1.0,1.0,0.3,0.3,0.8879252835223482,0.8144671452236334
0.175,5,0.8061780738946094,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8926894701542589,0.823302043070127
0.175,7,0.8226205191594561,1.0,1.0,0.40208333333333335,0.40208333333333335,0.9026788741946423,0.8415240198785201
0.175,9,0.8357457520453115,0.9864864864864865,0.9977460555972952,0.45625,0.45625,0.9095890410958904,0.8542241855328547
0.2,1,0.7998798076923077,1.0,1.0,0.30625,0.30625,0.8888146911519199,0.816123688569851
0.2,2,0.8066666666666666,1.0,1.0,0.33541666666666664,0.33541666666666664,0.8929889298892989,0.8238542241855329
0.2,3,0.8165644171779141,1.0,1.0,0.3770833333333333,0.3770833333333333,0.8990206011482607,0.83489784649365
0.2,4,0.8241486068111455,1.0,1.0,0.4083333333333333,0.4083333333333333,0.9035980991174475,0.8431805632247377
0.2,5,0.8316645807259074,0.9906103286384976,0.9984973703981969,0.4395833333333333,0.4395833333333333,0.907476954592011,0.8503589177250138
0.2,7,0.8505452212957024,0.9801587301587301,0.9962434259954921,0.5145833333333333,0.5145833333333333,0.9176470588235295,0.8685808945334069
