threshold,min_consecutive,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.05,2,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.05,3,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.05,4,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.05,5,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.05,7,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.05,9,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.075,1,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.075,2,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.075,3,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.075,4,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.075,5,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.075,7,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.075,9,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.1,1,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.1,2,0.7399226946438432,0.0,1.0,0.0,0.0,0.8505236432878451,0.7399226946438432
0.1,3,0.7403314917127072,1.0,1.0,0.0021231422505307855,0.0021231422505307855,0.8507936507936508,0.7404748757592491
0.1,4,0.7407407407407407,1.0,1.0,0.004246284501061571,0.004246284501061571,0.851063829787234,0.7410270568746549
0.1,5,0.7411504424778761,1.0,1.0,0.006369426751592357,0.006369426751592357,0.8513341804320204,0.7415792379900608
0.1,7,0.7423822714681441,1.0,1.0,0.012738853503184714,0.012738853503184714,0.8521462639109698,0.7432357813362783
0.1,9,0.7436182019977803,1.0,1.0,0.01910828025477707,0.01910828025477707,0.8529598981540419,0.7448923246824959
0.125,1,0.7419712070874862,1.0,1.0,0.010615711252653927,0.010615711252653927,0.8518753973299428,0.7426836002208724
0.125,2,0.7427937915742794,1.0,1.0,0.014861995753715499,0.014861995753715499,0.8524173027989822,0.7437879624516841
0.125,3,0.7432057681641708,1.0,1.0,0.016985138004246284,0.016985138004246284,0.8526885141584474,0.74434014356709
0.125,4,0.7452725250278087,1.0,1.0,0.027600849256900213,0.027600849256900213,0.8540471637985979,0.7471010491441192
0.125,5,0.7469342251950948,1.0,1.0,0.036093418259023353,0.036093418259023353,0.855137204850032,0.7493097736057427
0.125,7,0.7549295774647887,1.0,1.0,0.07643312101910828,0.07643312101910828,0.8603531300160514,0.7598012147984539
0.125,9,0.7596371882086168,1.0,1.0,0.09978768577494693,0.09978768577494693,0.8634020618556701,0.7658752070679182
0.15,1,0.7465181058495822,1.0,1.0,0.03397027600849257,0.03397027600849257,0.8548644338118022,0.7487575924903368
0.15,2,0.7477678571428571,1.0,1.0,0.040339702760084924,0.040339702760084924,0.8556832694763729,0.7504141358365544
0.15,3,0.7494407158836689,1.0,1.0,0.04883227176220807,0.04883227176220807,0.8567774936061381,0.7526228602981778
0.15,4,0.7545045045045045,1.0,1.0,0.07430997876857749,0.07430997876857749,0.8600770218228497,0.7592490336830481
0.15,5,0.760931289040318,1.0,1.0,0.10615711252653928,0.10615711252653928,0.8642373427926475,0.7675317504141358
0.15,7,0.7727797001153403,1.0,1.0,0.16348195329087048,0.16348195329087048,0.8718282368249838,0.7824406405300939
0.15,9,0.7868467410452143,1.0,1.0,0.22929936305732485,0.22929936305732485,0.8807098258297733,0.7995582551076753
0.175,1,0.7596371882086168,1.0,1.0,0.09978768577494693,0.09978768577494693,0.8634020618556701,0.7658752070679182
0.175,2,0.7639680729760547,1.0,1.0,0.12101910828025478,0.12101910828025478,0.8661926308985133,0.7713970182219768
0.175,3,0.7723342939481268,1.0,1.0,0.1613588110403397,0.1613588110403397,0.8715447154471545,0.781888459414688
0.175,4,0.7808857808857809,1.0,1.0,0.20169851380042464,0.20169851380042464,0.8769633507853403,0.7923799006073993
0.175,5,0.7905604719764012,1.0,1.0,0.24628450106157113,0.24628450106157113,0.8830313014827018,0.8039757040309221
0.175,7,0.8111380145278451,1.0,1.0,0.3375796178343949,0.3375796178343949,0.8957219251336899,0.8277194919933738
0.175,9,0.8251231527093597,1.0,1.0,0.3970276008492569,0.3970276008492569,0.9041835357624831,0.8431805632247377
0.2,1,0.7822533566841798,1.0,1.0,0.208067940552017,0.208067940552017,0.8778250900753357,0.7940364439536168
0.2,2,0.7873090481786134,1.0,1.0,0.23142250530785563,0.23142250530785563,0.8809993425378041,0.8001104362230812
0.2,3,0.798569725864124,1.0,1.0,0.2823779193205945,0.2823779193205945,0.8880053015241882,0.8133627829928216
0.2,4,0.8052884615384616,1.0,1.0,0.31210191082802546,0.31210191082802546,0.8921438082556591,0.8210933186085035
0.2,5,0.8185705558949298,1.0,1.0,0.36942675159235666,0.36942675159235666,0.9002351360429963,0.8360022087244616
0.2,7,0.8417085427135679,1.0,1.0,0.46496815286624205,0.46496815286624205,0.9140518417462482,0.860850358917725
0.2,9,0.8606294155427103,1.0,1.0,0.5392781316348195,0.5392781316348195,0.9250949257852952,0.8801766979569299
0.22499999999999998,1,0.8019150209455416,1.0,1.0,0.29723991507430997,0.29723991507430997,0.8900697442710064,0.8172280508006626
0.22499999999999998,2,0.8096676737160121,1.0,1.0,0.33121019108280253,0.33121019108280253,0.8948247078464108,0.8260629486471562
0.22499999999999998,3,0.8225905463474524,1.0,1.0,0.386411889596603,0.386411889596603,0.9026608285618053,0.8404196576477084
0.22499999999999998,4,0.8338518979464842,1.0,1.0,0.43312101910828027,0.43312101910828027,0.9093993892093655,0.8525676421866372
0.22499999999999998,5,0.8448928121059268,1.0,1.0,0.47770700636942676,0.47770700636942676,0.9159261790840738,0.8641634456101601
0.22499999999999998,7,0.8650742414460942,1.0,1.0,0.5562632696390658,0.5562632696390658,0.9276566285912081,0.8845941468801767
0.22499999999999998,9,0.8879310344827587,0.9966996699669967,0.9992537313432835,0.6411889596602972,0.6411889596602972,0.940308988764045,0.906129210381005
0.25,1,0.8160779537149817,1.0,1.0,0.35881104033970274,0.35881104033970274,0.8987256874580819,0.8332413031474324
0.25,2,0.8225905463474524,1.0,1.0,0.386411889596603,0.386411889596603,0.9026608285618053,0.8404196576477084
0.25,3,0.8380237648530331,1.0,1.0,0.45010615711252655,0.45010615711252655,0.9118747873426335,0.8569850911098841
0.25,4,0.8507936507936508,1.0,1.0,0.5010615711252654,0.5010615711252654,0.9193825042881646,0.8702374378796245
0.25,5,0.8639587362991619,1.0,1.0,0.5520169851380042,0.5520169851380042,0.9270148737461086,0.883489784649365
0.25,7,0.8850726552179656,1.0,1.0,0.6305732484076433,0.6305732484076433,0.9390329362298527,0.9039204859193816
0.25,9,0.9051490514905149,0.9880597014925373,0.9970149253731343,0.70276008492569,0.70276008492569,0.9488636363636364,0.9204859193815571
0.27499999999999997,1,0.8286951144094001,1.0,1.0,0.4118895966029724,0.4118895966029724,0.90632397700372,0.8470458310325787
0.27499999999999997,2,0.8438287153652393,1.0,1.0,0.4734607218683652,0.4734607218683652,0.9153005464480874,0.8630590833793484
0.27499999999999997,3,0.8567774936061381,1.0,1.0,0.524416135881104,0.524416135881104,0.9228650137741047,0.8763114301490889
0.27499999999999997,4,0.8673139158576052,1.0,1.0,0.564755838641189,0.564755838641189,0.92894280762565,0.8868028713418001
0.27499999999999997,5,0.8827404479578392,1.0,1.0,0.6220806794055201,0.6220806794055201,0.9377186843946815,0.9017117614577581
0.27499999999999997,7,0.901749663526245,1.0,1.0,0.6900212314225053,0.6900212314225053,0.9483368719037509,0.9193815571507454
0.27499999999999997,9,0.9194769442532691,0.9888268156424581,0.9970149253731343,0.7515923566878981,0.7515923566878981,0.9566774078052274,0.9331860850358917
0.3,1,0.8438287153652393,1.0,1.0,0.4734607218683652,0.4734607218683652,0.9153005464480874,0.8630590833793484
0.3,2,0.8573256557901472,1.0,1.0,0.5265392781316348,0.5265392781316348,0.9231829142266621,0.8768636112644947
0.3,3,0.8678756476683938,1.0,1.0,0.5668789808917197,0.5668789808917197,0.9292649098474342,0.8873550524572059
0.3,4,0.8821593153390388,1.0,1.0,0.6199575371549894,0.6199575371549894,0.9373906960475691,0.9011595803423523
0.3,5,0.8957219251336899,1.0,1.0,0.6687898089171974,0.6687898089171974,0.9449929478138223,0.913859745996687
0.3,7,0.91268758526603,0.9942028985507246,0.9985074626865672,0.7282377919320594,0.7282377919320594,0.9536707056307911,0.9282164549972391
0.3,9,0.926490984743412,0.989159891598916,0.9970149253731343,0.7749469214437368,0.7749469214437368,0.9604601006470166,0.9392600773053562
0.32499999999999996,1,0.8551372048500319,1.0,1.0,0.5180467091295117,0.5180467091295117,0.9219126246990024,0.8746548868028713
0.32499999999999996,2,0.8661926308985133,1.0,1.0,0.5605095541401274,0.5605095541401274,0.9282992726013163,0.8856985091109884
0.32499999999999996,3,0.8804204993429697,1.0,1.0,0.613588110403397,0.613588110403397,0.936408106219427,0.8995030369961348
0.32499999999999996,4,0.8933333333333333,1.0,1.0,0.6602972399150743,0.6602972399150743,0.9436619718309859,0.9116510215350635
0.32499999999999996,5,0.9023569023569024,1.0,1.0,0.692144373673036,0.692144373673036,0.9486725663716815,0.9199337382661513
0.32499999999999996,7,0.9201651754989677,0.9916201117318436,0.9977611940298508,0.7537154989384289,0.7537154989384289,0.9573934837092731,0.9342904472667035
0.32499999999999996,9,0.9323098394975575,0.9894179894179894,0.9970149253731343,0.7940552016985138,0.7940552016985138,0.9635773530472411,0.9442297073440088
0.35,1,0.864516129032258,1.0,1.0,0.554140127388535,0.554140127388535,0.9273356401384083,0.8840419657647709
0.35,2,0.8758169934640523,1.0,1.0,0.5966029723991507,0.5966029723991507,0.9337979094076655,0.895085588072888
0.35,3,0.8933333333333333,1.0,1.0,0.6602972399150743,0.6602972399150743,0.9436619718309859,0.9116510215350635
0.35,4,0.9022911051212938,0.9969418960244648,0.9992537313432835,0.692144373673036,0.692144373673036,0.948300283286119,0.9193815571507454
0.35,5,0.9084124830393487,0.9970326409495549,0.9992537313432835,0.7133757961783439,0.7133757961783439,0.9516702203269367,0.924903368304804
0.35,7,0.9259002770083102,0.9918256130790191,0.9977611940298508,0.772823779193206,0.772823779193206,0.9604885057471264,0.9392600773053562
0.35,9,0.9349195241427571,0.9895287958115183,0.9970149253731343,0.802547770700637,0.802547770700637,0.964969302997472,0.9464384318056323
