threshold,min_consecutive,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,9,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,9,0.7353591160220995,1.0,1.0,0.0020833333333333333,0.0020833333333333333,0.8475007959248647,0.7355052457205964
0.1,1,0.7390338700721821,1.0,1.0,0.020833333333333332,0.020833333333333332,0.8499361430395913,0.7404748757592491
0.1,2,0.7402669632925473,1.0,1.0,0.027083333333333334,0.027083333333333334,0.8507510386705018,0.7421314191054665
0.1,3,0.7427455357142857,1.0,1.0,0.03958333333333333,0.03958333333333333,0.8523855267371118,0.7454445057979017
0.1,4,0.7427455357142857,1.0,1.0,0.03958333333333333,0.03958333333333333,0.8523855267371118,0.7454445057979017
0.1,5,0.7452407614781635,1.0,1.0,0.052083333333333336,0.052083333333333336,0.8540263073468078,0.7487575924903368
0.1,7,0.7485939257592801,1.0,1.0,0.06875,0.06875,0.856223866194918,0.7531750414135836
0.1,9,0.7524024872809497,1.0,1.0,0.0875,0.0875,0.8587096774193548,0.7581446714522363
0.125,1,0.7469135802469136,1.0,1.0,0.06041666666666667,0.06041666666666667,0.8551236749116607,0.7509663169519603
0.125,2,0.7498591549295774,1.0,1.0,0.075,0.075,0.8570508692852543,0.7548315847598012
0.125,3,0.7528280542986425,1.0,1.0,0.08958333333333333,0.08958333333333333,0.8589867699257825,0.7586968525676422
0.125,4,0.7575412635173592,1.0,1.0,0.1125,0.1125,0.8620466321243523,0.7647708448371066
0.125,5,0.7627507163323782,1.0,1.0,0.1375,0.1375,0.865409622886866,0.7713970182219768
0.125,7,0.7715942028985507,1.0,1.0,0.17916666666666667,0.17916666666666667,0.8710732984293194,0.7824406405300939
0.125,9,0.7811032863849765,1.0,1.0,0.22291666666666668,0.22291666666666668,0.8771004942339374,0.7940364439536168
0.15,1,0.7610062893081762,1.0,1.0,0.12916666666666668,0.12916666666666668,0.8642857142857143,0.7691882937603534
0.15,2,0.7645031591039633,1.0,1.0,0.14583333333333334,0.14583333333333334,0.8665364583333334,0.7736057426836003
0.15,3,0.7715942028985507,1.0,1.0,0.17916666666666667,0.17916666666666667,0.8710732984293194,0.7824406405300939
0.15,4,0.7760932944606413,1.0,1.0,0.2,0.2,0.8739330269205515,0.7879624516841524
0.15,5,0.7811032863849765,1.0,1.0,0.22291666666666668,0.22291666666666668,0.8771004942339374,0.7940364439536168
0.15,7,0.7899109792284866,1.0,1.0,0.2625,0.2625,0.8826259946949602,0.804527885146328
0.15,9,0.8049666868564507,0.9875,0.9984973703981969,0.32916666666666666,0.32916666666666666,0.8913480885311871,0.8210933186085035
0.175,1,0.7707006369426752,1.0,1.0,0.175,0.175,0.8705035971223022,0.7813362782992822
0.175,2,0.7751892836342458,1.0,1.0,0.19583333333333333,0.19583333333333333,0.8733595800524935,0.7868580894533407
0.175,3,0.7806451612903226,1.0,1.0,0.22083333333333333,0.22083333333333333,0.8768115942028984,0.7934842628382109
0.175,4,0.7875739644970414,1.0,1.0,0.2520833333333333,0.2520833333333333,0.8811651770936776,0.8017669795692988
0.175,5,0.7954545454545454,0.9928057553956835,0.9992486851990984,0.2875,0.2875,0.8857808857808857,0.8106018774157924
0.175,7,0.8104814137720902,0.9941176470588236,0.9992486851990984,0.35208333333333336,0.35208333333333336,0.8950201884253027,0.8277194919933738
0.175,9,0.8284466625077979,0.9855769230769231,0.9977460555972952,0.4270833333333333,0.4270833333333333,0.9052488070892979,0.8464936499171728
0.2,1,0.7806451612903226,1.0,1.0,0.22083333333333333,0.22083333333333333,0.8768115942028984,0.7934842628382109
0.2,2,0.7861783815711755,1.0,1.0,0.24583333333333332,0.24583333333333332,0.8802910052910052,0.8001104362230812
0.2,3,0.7922619047619047,1.0,1.0,0.27291666666666664,0.27291666666666664,0.8840916638990368,0.8072887907233572
0.2,4,0.7993993993993994,1.0,1.0,0.30416666666666664,0.30416666666666664,0.8885180240320427,0.8155715074544451
0.2,5,0.8070388349514563,0.9938650306748467,0.9992486851990984,0.3375,0.3375,0.8929170862705605,0.8238542241855329
