threshold,min_consecutive,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,0.7357656163626313,1.0,1.0,0.004166666666666667,0.004166666666666667,0.8477707006369426,0.7360574268360022
0.05,2,0.7357656163626313,1.0,1.0,0.004166666666666667,0.004166666666666667,0.8477707006369426,0.7360574268360022
0.05,3,0.7357656163626313,1.0,1.0,0.004166666666666667,0.004166666666666667,0.8477707006369426,0.7360574268360022
0.05,4,0.7357656163626313,1.0,1.0,0.004166666666666667,0.004166666666666667,0.8477707006369426,0.7360574268360022
0.05,5,0.7357656163626313,1.0,1.0,0.004166666666666667,0.004166666666666667,0.8477707006369426,0.7360574268360022
0.05,7,0.7369878183831672,1.0,1.0,0.010416666666666666,0.010416666666666666,0.8485814472425884,0.7377139701822197
0.05,9,0.7378048780487805,1.0,1.0,0.014583333333333334,0.014583333333333334,0.8491228070175438,0.7388183324130315
0.075,1,0.7365799667957942,1.0,1.0,0.008333333333333333,0.008333333333333333,0.8483110261312938,0.737161789066814
0.075,2,0.7382140876317249,1.0,1.0,0.016666666666666666,0.016666666666666666,0.8493937460114869,0.7393705135284373
0.075,3,0.7398554752640356,1.0,1.0,0.025,0.025,0.850479233226837,0.7415792379900608
0.075,4,0.7406789092932665,1.0,1.0,0.029166666666666667,0.029166666666666667,0.8510230179028133,0.7426836002208724
0.075,5,0.741917502787068,1.0,1.0,0.035416666666666666,0.035416666666666666,0.85184,0.74434014356709
0.075,7,0.7460762331838565,1.0,1.0,0.05625,0.05625,0.8545746388443017,0.7498619547211486
0.075,9,0.7545351473922902,1.0,1.0,0.09791666666666667,0.09791666666666667,0.860096930533118,0.7609055770292656
0.1,1,0.7444071588366891,1.0,1.0,0.04791666666666667,0.04791666666666667,0.8534786790638026,0.7476532302595251
0.1,2,0.7481731309724564,1.0,1.0,0.06666666666666667,0.06666666666666667,0.8559485530546623,0.7526228602981778
0.1,3,0.7515527950310559,1.0,1.0,0.08333333333333333,0.08333333333333333,0.8581560283687943,0.7570403092214246
0.1,4,0.7536806342015855,1.0,1.0,0.09375,0.09375,0.8595414917662253,0.7598012147984539
0.1,5,0.7584045584045584,1.0,1.0,0.11666666666666667,0.11666666666666667,0.8626053143227479,0.7658752070679182
0.1,7,0.7662636729994243,1.0,1.0,0.15416666666666667,0.15416666666666667,0.8676662320730117,0.7758144671452236
0.1,9,0.7781030444964872,0.9805825242718447,0.9984973703981969,0.21041666666666667,0.21041666666666667,0.8746298124383021,0.7896189950303699
0.125,1,0.7584045584045584,1.0,1.0,0.11666666666666667,0.11666666666666667,0.8626053143227479,0.7658752070679182
0.125,2,0.7618775042930739,1.0,1.0,0.13333333333333333,0.13333333333333333,0.8648473034437947,0.7702926559911651
0.125,3,0.7662636729994243,1.0,1.0,0.15416666666666667,0.15416666666666667,0.8676662320730117,0.7758144671452236
0.125,4,0.7711471610660486,1.0,1.0,0.17708333333333334,0.17708333333333334,0.8707883545960092,0.781888459414688
0.125,5,0.7773232028053769,0.99,0.9992486851990984,0.20625,0.20625,0.8744247205785667,0.7890668139149641
0.125,7,0.7967625899280576,0.986013986013986,0.9984973703981969,0.29375,0.29375,0.8862954318106036,0.811706239646604
0.125,9,0.8166153846153846,0.978494623655914,0.9969947407963937,0.37916666666666665,0.37916666666666665,0.8978349120433018,0.8332413031474324
0.15,1,0.7684757505773672,1.0,1.0,0.16458333333333333,0.16458333333333333,0.8690825987593862,0.7785753727222529
0.15,2,0.7765460910151692,1.0,1.0,0.20208333333333334,0.20208333333333334,0.8742200328407225,0.7885146327995582
0.15,3,0.7811032863849765,1.0,1.0,0.22291666666666668,0.22291666666666668,0.8771004942339374,0.7940364439536168
0.15,4,0.7902554961378491,0.9921875,0.9992486851990984,0.26458333333333334,0.26458333333333334,0.8825481088254811,0.804527885146328
0.15,5,0.8031400966183575,0.9935483870967742,0.9992486851990984,0.32083333333333336,0.32083333333333336,0.8905256109809173,0.819436775262286
0.15,7,0.8290704928259514,0.9903846153846154,0.9984973703981969,0.42916666666666664,0.42916666666666664,0.9059304703476483,0.8475980121479846
0.15,9,0.8478818998716303,0.9604743083003953,0.9924868519909842,0.50625,0.50625,0.914503288335064,0.8636112644947542
0.175,1,0.7834020011771631,1.0,1.0,0.23333333333333334,0.23333333333333334,0.8785478547854786,0.7967973495306461
0.175,2,0.7903800475059383,1.0,1.0,0.26458333333333334,0.26458333333333334,0.8829187396351577,0.8050800662617339
0.175,3,0.8032589016294508,1.0,1.0,0.32083333333333336,0.32083333333333336,0.890896921017403,0.8199889563776919
0.175,4,0.8174554394591272,0.9945652173913043,0.9992486851990984,0.38125,0.38125,0.8992562542258282,0.8354500276090557
0.175,5,0.8290704928259514,0.9903846153846154,0.9984973703981969,0.42916666666666664,0.42916666666666664,0.9059304703476483,0.8475980121479846
0.175,7,0.8478260869565217,0.979757085020243,0.9962434259954921,0.5041666666666667,0.5041666666666667,0.9160621761658031,0.8658199889563777
0.175,9,0.8642622950819672,0.9545454545454546,0.9902329075882795,0.56875,0.56875,0.92296918767507,0.8785201546107123
0.2,1,0.8012048192771084,0.9933774834437086,0.9992486851990984,0.3125,0.3125,0.8893346706787029,0.8172280508006626
0.2,2,0.8083941605839416,0.9880239520958084,0.9984973703981969,0.34375,0.34375,0.8934453781512605,0.8249585864163446
0.2,3,0.8253573648228714,0.9851485148514851,0.9977460555972952,0.41458333333333336,0.41458333333333336,0.9034013605442176,0.8431805632247377
0.2,4,0.8372239747634069,0.9823008849557522,0.9969947407963937,0.4625,0.4625,0.9101508916323732,0.8553285477636665
0.2,5,0.8463010204081632,0.9835390946502057,0.9969947407963937,0.4979166666666667,0.4979166666666667,0.9154880993446015,0.864715626725566
0.2,7,0.8651832460732984,0.9681978798586572,0.9932381667918858,0.5708333333333333,0.5708333333333333,0.9247988807275271,0.8812810601877415
0.2,9,0.8825503355704698,0.9501557632398754,0.9879789631855748,0.6354166666666666,0.6354166666666666,0.9322935129386742,0.8945334069574821
0.22499999999999998,1,0.8193588162762022,0.9894179894179894,0.9984973703981969,0.38958333333333334,0.38958333333333334,0.900101591601761,0.8371065709552733
0.22499999999999998,2,0.830106183635228,0.9904761904761905,0.9984973703981969,0.43333333333333335,0.43333333333333335,0.9065484311050478,0.8487023743787963
0.22499999999999998,3,0.8414711477488903,0.9829059829059829,0.9969947407963937,0.4791666666666667,0.4791666666666667,0.9126547455295736,0.8597459966869133
0.22499999999999998,4,0.8504492939666238,0.9762845849802372,0.9954921111945906,0.5145833333333333,0.5145833333333333,0.9172724125995154,0.8680287134180011
0.22499999999999998,5,0.8608582574772432,0.9743589743589743,0.994740796393689,0.5541666666666667,0.5541666666666667,0.9229696758452423,0.8779679734953064
0.22499999999999998,7,0.8821954484605087,0.9589905362776026,0.9902329075882795,0.6333333333333333,0.6333333333333333,0.9330973451327434,0.8956377691882937
0.22499999999999998,9,0.9,0.9279778393351801,0.980465815176559,0.6979166666666666,0.6979166666666666,0.9385113268608414,0.9055770292655991
0.25,1,0.8342749529190208,0.9908256880733946,0.9984973703981969,0.45,0.45,0.9090287277701778,0.8531198233020431
0.25,2,0.8451242829827916,0.9793388429752066,0.9962434259954921,0.49375,0.49375,0.9144827586206897,0.8630590833793484
0.25,3,0.856957928802589,0.9736842105263158,0.994740796393689,0.5395833333333333,0.5395833333333333,0.9207232267037553,0.8741027056874655
0.25,4,0.8710526315789474,0.9759450171821306,0.994740796393689,0.5916666666666667,0.5916666666666667,0.928796913363732,0.8879072335726118
0.25,5,0.8787475016655563,0.9612903225806452,0.990984222389181,0.6208333333333333,0.6208333333333333,0.931497175141243,0.8928768636112645
0.25,7,0.8944141689373297,0.9475218658892128,0.9864763335837716,0.6770833333333334,0.6770833333333334,0.9381922115041087,0.9044726670347875
0.25,9,0.9142053445850914,0.9203084832904884,0.976709241172051,0.7458333333333333,0.7458333333333333,0.9444242644387941,0.9155162893429045
0.27499999999999997,1,0.84846547314578,0.9838056680161943,0.9969947407963937,0.50625,0.50625,0.9167530224525042,0.8669243511871894
0.27499999999999997,2,0.8631921824104235,0.9782608695652174,0.9954921111945906,0.5625,0.5625,0.9246336357292394,0.8807288790723358
0.27499999999999997,3,0.8707976268951879,0.9659863945578231,0.9924868519909842,0.5916666666666667,0.5916666666666667,0.9276685393258427,0.8862506902263942
0.27499999999999997,4,0.8823529411764706,0.9650793650793651,0.9917355371900827,0.6333333333333333,0.6333333333333333,0.933852140077821,0.8967421314191054
0.27499999999999997,5,0.8923493568043331,0.9610778443113772,0.9902329075882795,0.66875,0.66875,0.9387464387464388,0.9050248481501932
0.27499999999999997,7,0.9113747383112352,0.9338624338624338,0.9812171299774606,0.7354166666666667,0.7354166666666667,0.9450072358900145,0.9160684704583103
0.27499999999999997,9,0.9257142857142857,0.9148418491484185,0.9737039819684448,0.7833333333333333,0.7833333333333333,0.9491028927132918,0.9232468249585865
0.3,1,0.8616883116883117,0.985239852398524,0.9969947407963937,0.55625,0.55625,0.9244165795889934,0.8801766979569299
0.3,2,0.876657824933687,0.9702970297029703,0.9932381667918858,0.6125,0.6125,0.9313138429024305,0.8923246824958586
0.3,3,0.8828647925033467,0.9621451104100947,0.990984222389181,0.6354166666666666,0.6354166666666666,0.9338053097345133,0.8967421314191054
0.3,4,0.8965282505105514,0.9590643274853801,0.9894815927873779,0.6833333333333333,0.6833333333333333,0.9407142857142857,0.9083379348426284
0.3,5,0.90446735395189,0.9578651685393258,0.9887302779864763,0.7104166666666667,0.7104166666666667,0.9447236180904522,0.9149641082274986
0.3,7,0.9219858156028369,0.9226932668329177,0.976709241172051,0.7708333333333334,0.7708333333333334,0.9485589201021525,0.9221424627277747
0.3,9,0.934593023255814,0.896551724137931,0.966190833959429,0.8125,0.8125,0.9501292944218692,0.9254555494202098
0.32499999999999996,1,0.8756613756613757,0.9765886287625418,0.994740796393689,0.6083333333333333,0.6083333333333333,0.9314104818853324,0.8923246824958586
