threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,2,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,3,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,4,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,5,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,7,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,9,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,1,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,2,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,3,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,4,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,5,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,7,video,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,9,video,0.7353591160220995,1.0,1.0,0.0020833333333333333,0.0020833333333333333,0.8475007959248647,0.7355052457205964
0.1,1,video,0.7361725663716814,1.0,1.0,0.00625,0.00625,0.8480407773176171,0.7366096079514081
0.1,2,video,0.7369878183831672,1.0,1.0,0.010416666666666666,0.010416666666666666,0.8485814472425884,0.7377139701822197
0.1,3,video,0.7386237513873474,1.0,1.0,0.01875,0.01875,0.8496648579636131,0.7399226946438432
0.1,4,video,0.7390338700721821,1.0,1.0,0.020833333333333332,0.020833333333333332,0.8499361430395913,0.7404748757592491
