threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.075,2,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,3,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,4,event,0.7253068381063705,1.0,1.0,0.006342494714587738,0.006342494714587738,0.8407859078590786,0.7257876312718786
0.075,5,event,0.7253068381063705,1.0,1.0,0.006342494714587738,0.006342494714587738,0.8407859078590786,0.7257876312718786
0.075,7,event,0.7265807962529274,1.0,1.0,0.012684989429175475,0.012684989429175475,0.8416412343167176,0.7275379229871646
0.075,9,event,0.7270064440538957,1.0,1.0,0.014799154334038054,0.014799154334038054,0.8419267299864315,0.7281213535589265
0.1,1,event,0.7312905126694166,1.0,1.0,0.035940803382663845,0.035940803382663845,0.844792375765827,0.733955659276546
0.1,2,event,0.7330183106910809,1.0,1.0,0.04439746300211417,0.04439746300211417,0.8459441036128154,0.7362893815635939
0.1,3,event,0.7338852749852158,1.0,1.0,0.048625792811839326,0.048625792811839326,0.8465211459754434,0.7374562427071178
0.1,4,event,0.7373737373737373,1.0,1.0,0.06553911205073996,0.06553911205073996,0.8488372093023255,0.7421236872812136
0.1,5,event,0.7391304347826086,1.0,1.0,0.07399577167019028,0.07399577167019028,0.85,0.7444574095682613
0.1,7,event,0.7457932692307693,1.0,1.0,0.10570824524312897,0.10570824524312897,0.8543889845094665,0.7532088681446908
0.1,9,event,0.7544072948328268,1.0,1.0,0.14587737843551796,0.14587737843551796,0.86001386001386,0.764294049008168
0.125,1,event,0.7435590173756741,1.0,1.0,0.09513742071881606,0.09513742071881606,0.8529209621993128,0.750291715285881
0.125,2,event,0.7489438744719372,1.0,1.0,0.12050739957716702,0.12050739957716702,0.8564527260179434,0.7572928821470245
0.125,3,event,0.7557856272838003,1.0,1.0,0.1522198731501057,0.1522198731501057,0.860908775580992,0.766044340723454
0.125,4,event,0.7594859241126071,1.0,1.0,0.16913319238900634,0.16913319238900634,0.8633043478260869,0.7707117852975496
0.125,5,event,0.7684210526315789,1.0,1.0,0.20930232558139536,0.20930232558139536,0.869047619047619,0.7817969661610268
0.125,7,event,0.7859404686510449,1.0,1.0,0.2854122621564482,0.2854122621564482,0.8801418439716312,0.8028004667444574
0.125,9,event,0.8031088082901554,0.9941176470588236,0.9991941982272361,0.3572938689217759,0.3572938689217759,0.8904847396768403,0.8220536756126021
0.15,1,event,0.7627535341118623,1.0,1.0,0.1839323467230444,0.1839323467230444,0.8654114365411436,0.7747957992998833
0.15,2,event,0.7717661691542289,1.0,1.0,0.22410147991543342,0.22410147991543342,0.8711828711828713,0.7858809801633606
0.15,3,event,0.7805031446540881,1.0,1.0,0.26215644820295986,0.26215644820295986,0.8767220063581773,0.7963827304550758
0.15,4,event,0.7869372225745086,1.0,1.0,0.28964059196617337,0.28964059196617337,0.8807665010645849,0.8039673278879813
0.15,5,event,0.7990985189954926,1.0,1.0,0.3403805496828753,0.3403805496828753,0.8883321403006441,0.8179696616102684
0.15,7,event,0.8209549071618037,0.9854368932038835,0.9975825946817083,0.42917547568710357,0.42917547568710357,0.9006911604219716,0.8407234539089848
0.15,9,event,0.8457847840986977,0.9725490196078431,0.9943593875906527,0.5243128964059197,0.5243128964059197,0.914074074074074,0.8646441073512252
0.175,1,event,0.7839545167403664,1.0,1.0,0.2769556025369979,0.2769556025369979,0.8788951841359773,0.8004667444574096
0.175,2,event,0.7916932907348243,0.9865771812080537,0.9983883964544722,0.3107822410147992,0.3107822410147992,0.8831076265146116,0.808634772462077
0.175,3,event,0.8018134715025906,0.9823529411764705,0.9975825946817083,0.35306553911205074,0.35306553911205074,0.889048473967684,0.8197199533255543
0.175,4,event,0.8128693368351937,0.9842931937172775,0.9975825946817083,0.3974630021141649,0.3974630021141649,0.8958031837916064,0.8319719953325554
0.175,5,event,0.8264352469959947,0.9861111111111112,0.9975825946817083,0.4503171247357294,0.4503171247357294,0.9039795545819642,0.8465577596266044
0.175,7,event,0.8512396694214877,0.9809160305343512,0.9959709911361805,0.5433403805496829,0.5433403805496829,0.9179353880430746,0.8710618436406068
0.175,9,event,0.8775800711743772,0.9741100323624595,0.9935535858178888,0.6363636363636364,0.6363636363636364,0.9319727891156463,0.8949824970828472
0.2,1,event,0.8007761966364813,0.9821428571428571,0.9975825946817083,0.3488372093023256,0.3488372093023256,0.888410477215644,0.8185530921820303
0.2,2,event,0.8086218158066623,0.9836065573770492,0.9975825946817083,0.38054968287526425,0.38054968287526425,0.8932178932178931,0.8273045507584598
0.2,3,event,0.8198675496688742,0.9852941176470589,0.9975825946817083,0.4249471458773784,0.4249471458773784,0.9000363504180298,0.8395565927654609
0.2,4,event,0.8404616429056347,0.9875518672199171,0.9975825946817083,0.5031712473572939,0.5031712473572939,0.9123065585851142,0.8611435239206534
0.2,5,event,0.8555632342778162,0.9887640449438202,0.9975825946817083,0.5581395348837209,0.5581395348837209,0.9211309523809523,0.8763127187864644
0.2,7,event,0.8831541218637993,0.9717868338557993,0.9927477840451249,0.6553911205073996,0.6553911205073996,0.9347496206373294,0.8996499416569428
0.2,9,event,0.9096965210954848,0.9669421487603306,0.9903303787268332,0.7420718816067653,0.7420718816067653,0.9483024691358025,0.9218203033838973
0.22499999999999998,1,event,0.8171617161716171,0.9849246231155779,0.9975825946817083,0.4143763213530655,0.4143763213530655,0.8984034833091437,0.8366394399066511
0.22499999999999998,2,event,0.8292029470864032,0.9864253393665159,0.9975825946817083,0.4608879492600423,0.4608879492600423,0.9056327724945136,0.8494749124854143
0.22499999999999998,3,event,0.8502747252747253,0.9883720930232558,0.9975825946817083,0.5391120507399577,0.5391120507399577,0.9180571004820169,0.8710618436406068
0.22499999999999998,4,event,0.8656403079076277,0.9859649122807017,0.9967767929089444,0.5940803382663847,0.5940803382663847,0.9265917602996254,0.8856476079346558
0.22499999999999998,5,event,0.8801711840228246,0.9775641025641025,0.9943593875906527,0.6448202959830867,0.6448202959830867,0.9337873628452517,0.8978996499416569
0.22499999999999998,7,event,0.9042004421518055,0.9607843137254902,0.9887187751813054,0.7251585623678647,0.7251585623678647,0.9445727482678984,0.9159859976662778
0.22499999999999998,9,event,0.9264594389689158,0.9518987341772152,0.984689766317486,0.7949260042283298,0.7949260042283298,0.9546875,0.9323220536756126
0.25,1,event,0.8398914518317503,0.9875,0.9975825946817083,0.5010570824524313,0.5010570824524313,0.9119705340699815,0.8605600933488915
0.25,2,event,0.8578363384188626,0.9852941176470589,0.9967767929089444,0.5665961945031712,0.5665961945031712,0.9221021244875139,0.8780630105017503
0.25,3,event,0.8717406624383368,0.9864406779661017,0.9967767929089444,0.6152219873150105,0.6152219873150105,0.9300751879699247,0.8914819136522754
0.25,4,event,0.8884892086330936,0.9814814814814815,0.9951651893634166,0.6723044397463002,0.6723044397463002,0.9388065374382364,0.9060676779463244
0.25,5,event,0.9005120702267739,0.9711815561959655,0.991941982272361,0.7124735729386892,0.7124735729386892,0.9440184049079754,0.9148191365227538
0.25,7,event,0.9265707797123391,0.9567430025445293,0.9863013698630136,0.7949260042283298,0.7949260042283298,0.955503512880562,0.9334889148191365
0.25,9,event,0.9389017788089714,0.9358669833729216,0.9782433521353747,0.8329809725158562,0.8329809725158562,0.9581689029202842,0.9381563593932322
0.27499999999999997,1,event,0.8549723756906077,0.9887218045112782,0.9975825946817083,0.5560253699788583,0.5560253699788583,0.9207883971736706,0.8757292882147024
0.27499999999999997,2,event,0.8742049469964664,0.9866220735785953,0.9967767929089444,0.6236786469344608,0.6236786469344608,0.9314759036144579,0.8938156359393232
0.27499999999999997,3,event,0.8904109589041096,0.981651376146789,0.9951651893634166,0.678646934460888,0.678646934460888,0.9398782343987824,0.9078179696616102
0.27499999999999997,4,event,0.904029304029304,0.9799426934097422,0.9943593875906527,0.7230443974630021,0.7230443974630021,0.9470452801227937,0.9194865810968494
0.27499999999999997,5,event,0.9184741959611069,0.9655172413793104,0.9895245769540693,0.7695560253699789,0.7695560253699789,0.9526764934057408,0.9288214702450408
0.27499999999999997,7,event,0.9419953596287703,0.9453681710213777,0.9814665592264303,0.8414376321353065,0.8414376321353065,0.9613259668508288,0.9428238039673279
0.27499999999999997,9,event,0.9533596837944665,0.9220489977728286,0.9717969379532635,0.8752642706131079,0.8752642706131079,0.9624900239425378,0.9451575262543758
0.3,1,event,0.8760623229461756,0.9867549668874173,0.9967767929089444,0.6300211416490487,0.6300211416490487,0.9325292122125894,0.8955659276546091
0.3,2,event,0.8911319394376351,0.9847094801223242,0.9959709911361805,0.6807610993657506,0.6807610993657506,0.9406392694063926,0.9089848308051341
0.3,3,event,0.9058823529411765,0.9745762711864406,0.9927477840451249,0.7293868921775899,0.7293868921775899,0.9473279507881583,0.9200700116686115
0.3,4,event,0.9185959671396564,0.9706666666666667,0.9911361804995971,0.7695560253699789,0.7695560253699789,0.9534883720930232,0.9299883313885647
