threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,1,event,0.7261556465769455,1.0,1.0,0.010570824524312896,0.010570824524312896,0.8413559322033898,0.7269544924154026
0.1,2,event,0.7278592375366569,1.0,1.0,0.019027484143763214,0.019027484143763214,0.8424983027834352,0.7292882147024504
0.1,3,event,0.728126834997064,0.9090909090909091,0.9991941982272361,0.021141649048625793,0.021141649048625793,0.842391304347826,0.7292882147024504
0.1,4,event,0.7289829512051734,0.9230769230769231,0.9991941982272361,0.02536997885835095,0.02536997885835095,0.8429639700883752,0.7304550758459744
0.1,5,event,0.7311320754716981,0.9444444444444444,0.9991941982272361,0.035940803382663845,0.035940803382663845,0.8443990466462377,0.7333722287047841
0.1,7,event,0.7350326022525193,0.9629629629629629,0.9991941982272361,0.05496828752642706,0.05496828752642706,0.8469945355191256,0.7386231038506418
0.1,9,event,0.7411835026897788,0.975609756097561,0.9991941982272361,0.08456659619450317,0.08456659619450317,0.851063829787234,0.7467911318553092
0.125,1,event,0.7471402769416015,1.0,1.0,0.11205073995771671,0.11205073995771671,0.8552722260509993,0.7549591598599766
0.125,2,event,0.7537993920972644,0.9855072463768116,0.9991941982272361,0.14376321353065538,0.14376321353065538,0.8593208593208593,0.7631271878646441
0.125,3,event,0.7635467980295566,0.9888888888888889,0.9991941982272361,0.18816067653276955,0.18816067653276955,0.8656195462478186,0.7753792298716453
0.125,4,event,0.7716241443683883,0.9906542056074766,0.9991941982272361,0.22410147991543342,0.22410147991543342,0.8707865168539325,0.7852975495915986
0.125,5,event,0.7793840351979887,0.991869918699187,0.9991941982272361,0.25792811839323465,0.25792811839323465,0.8757062146892655,0.79463243873979
0.125,7,event,0.7913209955328654,0.9931972789115646,0.9991941982272361,0.3086680761099366,0.3086680761099366,0.8831908831908832,0.808634772462077
0.125,9,event,0.8041504539559015,0.9941860465116279,0.9991941982272361,0.36152219873150104,0.36152219873150104,0.8911246855910887,0.823220536756126
0.15,1,event,0.7813484562066793,0.9921259842519685,0.9991941982272361,0.266384778012685,0.266384778012685,0.876944837340877,0.7969661610268378
0.15,2,event,0.7873015873015873,0.9928057553956835,0.9991941982272361,0.2917547568710359,0.2917547568710359,0.8806818181818182,0.8039673278879813
0.15,3,event,0.7989690721649485,0.9938271604938271,0.9991941982272361,0.3403805496828753,0.3403805496828753,0.8879341210168278,0.8173862310385064
0.15,4,event,0.8036292935839274,0.9941520467836257,0.9991941982272361,0.3594080338266385,0.3594080338266385,0.8908045977011495,0.822637106184364
0.15,5,event,0.8131147540983606,0.9947089947089947,0.9991941982272361,0.3974630021141649,0.3974630021141649,0.8966015907447578,0.8331388564760793
0.15,7,event,0.835016835016835,0.9956331877729258,0.9991941982272361,0.4820295983086681,0.4820295983086681,0.9097578870139398,0.8564760793465578
0.15,9,event,0.8552631578947368,0.9777777777777777,0.9951651893634166,0.5581395348837209,0.5581395348837209,0.9199255121042831,0.8745624270711785
0.175,1,event,0.8041504539559015,0.9941860465116279,0.9991941982272361,0.36152219873150104,0.36152219873150104,0.8911246855910887,0.823220536756126
0.175,2,event,0.8099281515349445,0.994535519125683,0.9991941982272361,0.38477801268498946,0.38477801268498946,0.8946608946608946,0.8296382730455076
0.175,3,event,0.8190224570673712,0.995,0.9991941982272361,0.42071881606765327,0.42071881606765327,0.9001814882032668,0.8395565927654609
0.175,4,event,0.8299866131191432,0.9954545454545455,0.9991941982272361,0.4630021141649049,0.4630021141649049,0.906764168190128,0.8512252042007001
0.175,5,event,0.8446866485013624,0.9959349593495935,0.9991941982272361,0.5179704016913319,0.5179704016913319,0.9154669619785899,0.8663943990665111
0.175,7,event,0.8663400979706088,0.9894736842105263,0.9975825946817083,0.5961945031712473,0.5961945031712473,0.9273408239700375,0.8868144690781797
0.175,9,event,0.888328530259366,0.9754601226993865,0.9935535858178888,0.6723044397463002,0.6723044397463002,0.9379992392544694,0.9049008168028004
0.2,1,event,0.8174027686222808,0.9949238578680203,0.9991941982272361,0.4143763213530655,0.4143763213530655,0.8992023205221173,0.8378063010501751
0.2,2,event,0.8255659121171771,0.9952830188679245,0.9991941982272361,0.44608879492600423,0.44608879492600423,0.9041195771053592,0.8465577596266044
0.2,3,event,0.8333333333333334,0.995575221238938,0.9991941982272361,0.47568710359408034,0.47568710359408034,0.9087577867350678,0.8547257876312718
0.2,4,event,0.8464163822525598,0.9959839357429718,0.9991941982272361,0.5243128964059197,0.5243128964059197,0.9164818920916481,0.868144690781797
0.2,5,event,0.8622129436325678,0.9927797833935018,0.9983883964544722,0.5813953488372093,0.5813953488372093,0.9253174010455564,0.8833138856476079
0.2,7,event,0.8924187725631769,0.9848024316109423,0.9959709911361805,0.6849894291754757,0.6849894291754757,0.9413556740289414,0.9101516919486581
0.2,9,event,0.9117865085248332,0.9698630136986301,0.9911361804995971,0.7484143763213531,0.7484143763213531,0.9498069498069498,0.9241540256709452
0.22499999999999998,1,event,0.8298727394507702,0.9909502262443439,0.9983883964544722,0.4630021141649049,0.4630021141649049,0.9063643013899049,0.8506417736289381
0.22499999999999998,2,event,0.8445807770961146,0.9919028340080972,0.9983883964544722,0.5179704016913319,0.5179704016913319,0.91506646971935,0.8658109684947491
0.22499999999999998,3,event,0.853893866299104,0.9923954372623575,0.9983883964544722,0.5517970401691332,0.5517970401691332,0.9205052005943536,0.8751458576429405
0.22499999999999998,4,event,0.8694736842105263,0.9930795847750865,0.9983883964544722,0.6067653276955602,0.6067653276955602,0.9294823705926483,0.8903150525087514
0.22499999999999998,5,event,0.8873744619799139,0.9875,0.9967767929089444,0.6680761099365751,0.6680761099365751,0.938899430740038,0.9060676779463244
0.22499999999999998,7,event,0.9085545722713865,0.9748603351955307,0.9927477840451249,0.7378435517970402,0.7378435517970402,0.9487870619946093,0.9224037339556592
0.22499999999999998,9,event,0.9246420497362472,0.9638242894056848,0.9887187751813054,0.7885835095137421,0.7885835095137421,0.955607476635514,0.9334889148191365
0.25,1,event,0.8473648186173853,0.9881422924901185,0.9975825946817083,0.5285412262156448,0.5285412262156448,0.916358253145818,0.868144690781797
0.25,2,event,0.8549723756906077,0.9887218045112782,0.9975825946817083,0.5560253699788583,0.5560253699788583,0.9207883971736706,0.8757292882147024
0.25,3,event,0.870604781997187,0.9897260273972602,0.9975825946817083,0.6109936575052854,0.6109936575052854,0.9297784453623732,0.8908984830805134
0.25,4,event,0.8880114860014358,0.9875389408099688,0.9967767929089444,0.6701902748414377,0.6701902748414377,0.9392558845861808,0.9066511085180864
0.25,5,event,0.9015317286652079,0.9854227405247813,0.9959709911361805,0.7145877378435518,0.7145877378435518,0.9464012251148545,0.9183197199533255
0.25,7,event,0.9245283018867925,0.9588688946015425,0.9871071716357775,0.7885835095137421,0.7885835095137421,0.9547934528448947,0.9323220536756126
0.25,9,event,0.9381283836040216,0.9334916864608076,0.9774375503626108,0.8308668076109936,0.8308668076109936,0.9573796369376479,0.9369894982497082
0.27499999999999997,1,event,0.8603196664350243,0.9890909090909091,0.9975825946817083,0.5750528541226215,0.5750528541226215,0.9238805970149253,0.8809801633605601
0.27499999999999997,2,event,0.8712174524982407,0.9897610921501706,0.9975825946817083,0.6131078224101479,0.6131078224101479,0.9301277235161532,0.8914819136522754
0.27499999999999997,3,event,0.8829407566024269,0.987220447284345,0.9967767929089444,0.653276955602537,0.653276955602537,0.9364118092354278,0.9019836639439907
0.27499999999999997,4,event,0.9028487947406866,0.9855072463768116,0.9959709911361805,0.718816067653277,0.718816067653277,0.947126436781609,0.9194865810968494
0.27499999999999997,5,event,0.9202087994034303,0.9812332439678284,0.9943593875906527,0.773784355179704,0.773784355179704,0.9558481797056545,0.9334889148191365
0.27499999999999997,7,event,0.9376443418013857,0.944578313253012,0.9814665592264303,0.828752642706131,0.828752642706131,0.9590551181102362,0.9393232205367561
0.27499999999999997,9,event,0.9473684210526315,0.9206349206349206,0.9717969379532635,0.8583509513742071,0.8583509513742071,0.9594272076372315,0.94049008168028
0.3,1,event,0.8742937853107344,0.9899328859060402,0.9975825946817083,0.6236786469344608,0.6236786469344608,0.9318780579601054,0.8943990665110851
0.3,2,event,0.8880918220946915,0.990625,0.9975825946817083,0.6701902748414377,0.6701902748414377,0.9396584440227704,0.9072345390898483
0.3,3,event,0.9008023340627279,0.9825072886297376,0.9951651893634166,0.7124735729386892,0.7124735729386892,0.945635528330781,0.9171528588098017
