threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,1,event,0.7253068381063705,1.0,1.0,0.006342494714587738,0.006342494714587738,0.8407859078590786,0.7257876312718786
0.1,2,event,0.7257309941520468,1.0,1.0,0.008456659619450317,0.008456659619450317,0.841070823449678,0.7263710618436406
0.1,3,event,0.7257309941520468,1.0,1.0,0.008456659619450317,0.008456659619450317,0.841070823449678,0.7263710618436406
0.1,4,event,0.727432590855803,1.0,1.0,0.016913319238900635,0.016913319238900635,0.842212419409569,0.7287047841306884
0.1,5,event,0.7291421856639247,1.0,1.0,0.02536997885835095,0.02536997885835095,0.8433571185864764,0.7310385064177363
0.1,7,event,0.7330183106910809,1.0,1.0,0.04439746300211417,0.04439746300211417,0.8459441036128154,0.7362893815635939
0.1,9,event,0.7373737373737373,1.0,1.0,0.06553911205073996,0.06553911205073996,0.8488372093023255,0.7421236872812136
0.125,1,event,0.7347542924807579,1.0,1.0,0.052854122621564484,0.052854122621564484,0.8470989761092149,0.7386231038506418
0.125,2,event,0.7391304347826086,1.0,1.0,0.07399577167019028,0.07399577167019028,0.85,0.7444574095682613
0.125,3,event,0.7435590173756741,1.0,1.0,0.09513742071881606,0.09513742071881606,0.8529209621993128,0.750291715285881
0.125,4,event,0.7475903614457832,1.0,1.0,0.11416490486257928,0.11416490486257928,0.8555670458462599,0.7555425904317387
0.125,5,event,0.7530339805825242,1.0,1.0,0.13953488372093023,0.13953488372093023,0.8591208030460367,0.7625437572928822
0.125,7,event,0.7627535341118623,1.0,1.0,0.1839323467230444,0.1839323467230444,0.8654114365411436,0.7747957992998833
0.125,9,event,0.7746566791510612,1.0,1.0,0.23678646934460887,0.23678646934460887,0.8730214562082308,0.7893815635939323
0.15,1,event,0.746690734055355,1.0,1.0,0.10993657505285412,0.10993657505285412,0.8549776093696176,0.7543757292882147
0.15,2,event,0.7534911961141469,1.0,1.0,0.1416490486257928,0.1416490486257928,0.8594182825484764,0.7631271878646441
0.15,3,event,0.7604166666666666,1.0,1.0,0.1733615221987315,0.1733615221987315,0.8639053254437871,0.7718786464410735
0.15,4,event,0.7665225447807289,1.0,1.0,0.20084566596194503,0.20084566596194503,0.8678321678321679,0.779463243873979
0.15,5,event,0.7746566791510612,1.0,1.0,0.23678646934460887,0.23678646934460887,0.8730214562082308,0.7893815635939323
0.15,7,event,0.7928388746803069,0.9933333333333333,0.9991941982272361,0.3150105708245243,0.3150105708245243,0.8841354723707664,0.8103850641773629
0.15,9,event,0.8124590163934426,0.9894179894179894,0.9983883964544722,0.3953488372093023,0.3953488372093023,0.89587852494577,0.8319719953325554
0.175,1,event,0.7562461913467398,1.0,1.0,0.1543340380549683,0.1543340380549683,0.861207494795281,0.7666277712952159
0.175,2,event,0.7674706246134818,1.0,1.0,0.20507399577167018,0.20507399577167018,0.8684394681595522,0.780630105017503
0.175,3,event,0.7751405371642723,1.0,1.0,0.23890063424947147,0.23890063424947147,0.8733286418015482,0.7899649941656943
0.175,4,event,0.7858048162230672,0.9926470588235294,0.9991941982272361,0.2854122621564482,0.2854122621564482,0.8797445902802413,0.8022170361726955
0.175,5,event,0.7988394584139265,0.9877300613496932,0.9983883964544722,0.3403805496828753,0.3403805496828753,0.8875358166189111,0.8168028004667445
0.175,7,event,0.823020625415835,0.981042654028436,0.9967767929089444,0.4376321353065539,0.4376321353065539,0.9016034985422741,0.8424737456242707
0.175,9,event,0.8516218081435473,0.9735849056603774,0.9943593875906527,0.5454545454545454,0.5454545454545454,0.9174721189591077,0.8704784130688448
0.2,1,event,0.773208722741433,1.0,1.0,0.23044397463002114,0.23044397463002114,0.8721011946591708,0.7876312718786465
0.2,2,event,0.7853071564281191,0.9925925925925926,0.9991941982272361,0.2832980972515856,0.2832980972515856,0.8794326241134752,0.8016336056009334
0.2,3,event,0.8007761966364813,0.9821428571428571,0.9975825946817083,0.3488372093023256,0.3488372093023256,0.888410477215644,0.8185530921820303
0.2,4,event,0.8134034165571616,0.984375,0.9975825946817083,0.39957716701902746,0.39957716701902746,0.8961273977560622,0.8325554259043174
0.2,5,event,0.8273092369477911,0.9772727272727273,0.9959709911361805,0.45454545454545453,0.45454545454545453,0.9038391224862887,0.8465577596266044
0.2,7,event,0.8480055020632737,0.9692307692307692,0.9935535858178888,0.53276955602537,0.53276955602537,0.9150278293135437,0.8663943990665111
0.2,9,event,0.8721590909090909,0.9575163398692811,0.9895245769540693,0.6194503171247357,0.6194503171247357,0.9271423178557946,0.8873978996499416
0.22499999999999998,1,event,0.7881679389312977,0.9859154929577465,0.9983883964544722,0.2959830866807611,0.2959830866807611,0.8809100604337006,0.8045507584597433
0.22499999999999998,2,event,0.8044184535412605,0.9828571428571429,0.9975825946817083,0.36363636363636365,0.36363636363636365,0.8906474820143884,0.822637106184364
0.22499999999999998,3,event,0.8185430463576159,0.9754901960784313,0.9959709911361805,0.42071881606765327,0.42071881606765327,0.8985823336968374,0.837222870478413
0.22499999999999998,4,event,0.8305312710154674,0.973568281938326,0.9951651893634166,0.46723044397463004,0.46723044397463004,0.905425219941349,0.8494749124854143
0.22499999999999998,5,event,0.842896174863388,0.972,0.9943593875906527,0.5137420718816068,0.5137420718816068,0.9123844731977819,0.8617269544924154
0.22499999999999998,7,event,0.8728693181818182,0.9607843137254902,0.9903303787268332,0.6215644820295984,0.6215644820295984,0.9278973197432993,0.8885647607934656
0.22499999999999998,9,event,0.8888888888888888,0.9495548961424333,0.9863013698630136,0.6765327695560254,0.6765327695560254,0.935064935064935,0.9008168028004667
0.25,1,event,0.8028534370946823,0.9825581395348837,0.9975825946817083,0.3572938689217759,0.3572938689217759,0.8896873877111031,0.8208868144690782
0.25,2,event,0.8201725282017253,0.9758454106280193,0.9959709911361805,0.427061310782241,0.427061310782241,0.8995633187772925,0.838973162193699
0.25,3,event,0.8355886332882273,0.9745762711864406,0.9951651893634166,0.48625792811839325,0.48625792811839325,0.9084222140492829,0.8547257876312718
0.25,4,event,0.8497587870434183,0.9695817490494296,0.9935535858178888,0.5391120507399577,0.5391120507399577,0.9160475482912332,0.868144690781797
0.25,5,event,0.8596368715083799,0.9645390070921985,0.991941982272361,0.5750528541226215,0.5750528541226215,0.9210624766180322,0.8768961493582264
0.25,7,event,0.8872017353579176,0.9577039274924471,0.9887187751813054,0.6701902748414377,0.6701902748414377,0.9352134146341463,0.9008168028004667
0.25,9,event,0.9045151739452257,0.9476584022038568,0.984689766317486,0.7272727272727273,0.7272727272727273,0.9429012345679013,0.9136522753792299
0.27499999999999997,1,event,0.8224734042553191,0.9809523809523809,0.9967767929089444,0.4355179704016913,0.4355179704016913,0.9012750455373406,0.8418903150525088
0.27499999999999997,2,event,0.8362652232746955,0.9788135593220338,0.9959709911361805,0.4883720930232558,0.4883720930232558,0.9091577785950716,0.8558926487747958
0.27499999999999997,3,event,0.8544698544698545,0.9704797047970479,0.9935535858178888,0.5560253699788583,0.5560253699788583,0.9187779433681074,0.8728121353558926
0.27499999999999997,4,event,0.8652631578947368,0.972318339100346,0.9935535858178888,0.5940803382663847,0.5940803382663847,0.9249812453113279,0.8833138856476079
0.27499999999999997,5,event,0.8780313837375179,0.967948717948718,0.991941982272361,0.638477801268499,0.638477801268499,0.9315172152856603,0.8943990665110851
0.27499999999999997,7,event,0.9007352941176471,0.9548022598870056,0.9871071716357775,0.7145877378435518,0.7145877378435518,0.9419454056132256,0.911901983663944
0.27499999999999997,9,event,0.9198184568835098,0.9362244897959183,0.9798549556809025,0.7758985200845666,0.7758985200845666,0.9488880218493952,0.9235705950991832
0.3,1,event,0.8386440677966102,0.9832635983263598,0.9967767929089444,0.49682875264270615,0.49682875264270615,0.910898379970545,0.8588098016336057
0.3,2,event,0.8487972508591065,0.9768339768339769,0.9951651893634166,0.5348837209302325,0.5348837209302325,0.9161721068249258,0.868144690781797
0.3,3,event,0.8628411476557033,0.9719298245614035,0.9935535858178888,0.5856236786469344,0.5856236786469344,0.9235955056179775,0.8809801633605601
0.3,4,event,0.875,0.9705882352941176,0.9927477840451249,0.627906976744186,0.627906976744186,0.9301623254058135,0.8920653442240374
0.3,5,event,0.8919506889050036,0.9671641791044776,0.9911361804995971,0.6849894291754757,0.6849894291754757,0.9389312977099237,0.9066511085180864
0.3,7,event,0.912621359223301,0.9493333333333334,0.984689766317486,0.7526427061310782,0.7526427061310782,0.9472868217054264,0.9206534422403734
