threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7261556465769455,1.0,1.0,0.010570824524312896,0.010570824524312896,0.8413559322033898,0.7269544924154026
0.075,2,event,0.7261556465769455,1.0,1.0,0.010570824524312896,0.010570824524312896,0.8413559322033898,0.7269544924154026
0.075,3,event,0.7270064440538957,1.0,1.0,0.014799154334038054,0.014799154334038054,0.8419267299864315,0.7281213535589265
0.075,4,event,0.727432590855803,1.0,1.0,0.016913319238900635,0.016913319238900635,0.842212419409569,0.7287047841306884
0.075,5,event,0.7282863849765259,1.0,1.0,0.021141649048625793,0.021141649048625793,0.8427843803056027,0.7298716452742123
0.075,7,event,0.7304296645085344,1.0,1.0,0.03171247357293869,0.03171247357293869,0.8442176870748299,0.7327887981330222
0.075,9,event,0.7353115727002968,0.9310344827586207,0.9983883964544722,0.05708245243128964,0.05708245243128964,0.84688995215311,0.7386231038506418
0.1,1,event,0.7317216981132075,1.0,1.0,0.03805496828752643,0.03805496828752643,0.8450800136193395,0.7345390898483081
0.1,2,event,0.7347542924807579,1.0,1.0,0.052854122621564484,0.052854122621564484,0.8470989761092149,0.7386231038506418
0.1,3,event,0.7382510410469958,1.0,1.0,0.06976744186046512,0.06976744186046512,0.8494182067077344,0.7432905484247374
0.1,4,event,0.7408955223880597,1.0,1.0,0.0824524312896406,0.0824524312896406,0.8511659807956105,0.7467911318553092
0.1,5,event,0.7440047961630696,1.0,1.0,0.09725158562367865,0.09725158562367865,0.853214162942592,0.7508751458576429
0.1,7,event,0.7516656571774682,1.0,1.0,0.1331923890063425,0.1331923890063425,0.8582295988934994,0.7607934655775963
0.1,9,event,0.7646695491043854,0.968421052631579,0.9975825946817083,0.1945031712473573,0.1945031712473573,0.8657342657342657,0.7759626604434072
0.125,1,event,0.7431137724550898,1.0,1.0,0.09302325581395349,0.09302325581395349,0.8526279628993473,0.749708284714119
0.125,2,event,0.7483403741701871,0.9824561403508771,0.9991941982272361,0.11839323467230443,0.11839323467230443,0.8557625948930296,0.7561260210035006
0.125,3,event,0.7515151515151515,0.984375,0.9991941982272361,0.1331923890063425,0.1331923890063425,0.8578346592874437,0.7602100350058343
0.125,4,event,0.7551766138855055,0.9861111111111112,0.9991941982272361,0.15010570824524314,0.15010570824524314,0.8602150537634409,0.76487747957993
0.125,5,event,0.7612031921424187,0.9882352941176471,0.9991941982272361,0.17758985200845667,0.17758985200845667,0.8641114982578397,0.7724620770128354
0.125,7,event,0.7856689917564997,0.9854014598540146,0.9983883964544722,0.2854122621564482,0.2854122621564482,0.8793470546486869,0.8016336056009334
0.125,9,event,0.8077174623937214,0.9675675675675676,0.9951651893634166,0.3784355179704017,0.3784355179704017,0.8916967509025272,0.8249708284714119
0.15,1,event,0.7584097859327217,0.9873417721518988,0.9991941982272361,0.1649048625792812,0.1649048625792812,0.8623087621696801,0.7689614935822637
0.15,2,event,0.7640172520024646,0.989010989010989,0.9991941982272361,0.19027484143763213,0.19027484143763213,0.8659217877094972,0.7759626604434072
0.15,3,event,0.7716241443683883,0.9906542056074766,0.9991941982272361,0.22410147991543342,0.22410147991543342,0.8707865168539325,0.7852975495915986
0.15,4,event,0.778405524168236,0.9917355371900827,0.9991941982272361,0.2536997885835095,0.2536997885835095,0.8750882145377558,0.793465577596266
0.15,5,event,0.793854033290653,0.993421052631579,0.9991941982272361,0.3192389006342495,0.3192389006342495,0.8847663217980735,0.8115519253208868
0.15,7,event,0.8143989431968296,0.96,0.9935535858178888,0.4059196617336152,0.4059196617336152,0.8950998185117967,0.8313885647607935
0.15,9,event,0.8311951384199865,0.9570815450643777,0.991941982272361,0.4714587737843552,0.4714587737843552,0.9044819985304923,0.8483080513418904
0.175,1,event,0.7697082557417753,0.9902912621359223,0.9991941982272361,0.2156448202959831,0.2156448202959831,0.8695652173913043,0.7829638273045507
0.175,2,event,0.7782663316582915,0.9836065573770492,0.9983883964544722,0.2536997885835095,0.2536997885835095,0.8746911401341335,0.7928821470245041
0.175,3,event,0.793213828425096,0.9868421052631579,0.9983883964544722,0.3171247357293869,0.3171247357293869,0.8840528005708169,0.8103850641773629
0.175,4,event,0.8035019455252919,0.9883720930232558,0.9983883964544722,0.3594080338266385,0.3594080338266385,0.890406036651096,0.8220536756126021
0.175,5,event,0.8159630606860159,0.9797979797979798,0.9967767929089444,0.41014799154334036,0.41014799154334036,0.8973521944142184,0.8348891481913653
0.175,7,event,0.8374149659863945,0.9590163934426229,0.991941982272361,0.49471458773784355,0.49471458773784355,0.9081519734415345,0.8547257876312718
0.175,9,event,0.8623595505617978,0.9551724137931035,0.9895245769540693,0.5856236786469344,0.5856236786469344,0.9215759849906191,0.8780630105017503
0.2,1,event,0.789171974522293,0.9861111111111112,0.9983883964544722,0.30021141649048627,0.30021141649048627,0.8815368196371398,0.8057176196032673
0.2,2,event,0.7983247422680413,0.9876543209876543,0.9983883964544722,0.3382663847780127,0.3382663847780127,0.887218045112782,0.8162193698949824
0.2,3,event,0.8124590163934426,0.9894179894179894,0.9983883964544722,0.3953488372093023,0.3953488372093023,0.89587852494577,0.8319719953325554
0.2,4,event,0.8264352469959947,0.9861111111111112,0.9975825946817083,0.4503171247357294,0.4503171247357294,0.9039795545819642,0.8465577596266044
0.2,5,event,0.8388851121685927,0.9711934156378601,0.9943593875906527,0.4989429175475687,0.4989429175475687,0.9100294985250736,0.8576429404900817
0.2,7,event,0.8680310515172901,0.9629629629629629,0.9911361804995971,0.6046511627906976,0.6046511627906976,0.9255079006772008,0.8844807467911319
0.2,9,event,0.8896952104499274,0.9553571428571429,0.9879129734085415,0.678646934460888,0.678646934460888,0.9362352042764414,0.9025670945157527
0.22499999999999998,1,event,0.805591677503251,0.9886363636363636,0.9983883964544722,0.3678646934460888,0.3678646934460888,0.8916876574307304,0.82438739789965
0.22499999999999998,2,event,0.8183619550858653,0.99,0.9983883964544722,0.4186046511627907,0.4186046511627907,0.8994555353901995,0.838389731621937
0.22499999999999998,3,event,0.8314304902619207,0.9866666666666667,0.9975825946817083,0.4693446088794926,0.4693446088794926,0.906959706959707,0.851808634772462
0.22499999999999998,4,event,0.8454172366621067,0.9801587301587301,0.9959709911361805,0.5221987315010571,0.5221987315010571,0.9145394006659268,0.8652275379229871
0.22499999999999998,5,event,0.8611304954640614,0.9750889679715302,0.9943593875906527,0.5792811839323467,0.5792811839323467,0.9229618548990276,0.8798133022170361
0.22499999999999998,7,event,0.8925199709513435,0.9643916913946587,0.9903303787268332,0.6871035940803383,0.6871035940803383,0.9388846447669978,0.9066511085180864
0.22499999999999998,9,event,0.9166666666666666,0.9476439790575916,0.983883964544722,0.7653276955602537,0.7653276955602537,0.9490866692576759,0.9235705950991832
0.25,1,event,0.8221632382216324,0.9903381642512077,0.9983883964544722,0.4334038054968288,0.4334038054968288,0.9017467248908297,0.8424737456242707
0.25,2,event,0.8343434343434344,0.9912663755458515,0.9983883964544722,0.4799154334038055,0.4799154334038055,0.909024211298606,0.8553092182030338
0.25,3,event,0.8489010989010989,0.9806201550387597,0.9959709911361805,0.5348837209302325,0.5348837209302325,0.9165739710789765,0.8687281213535589
0.25,4,event,0.8637316561844863,0.9823321554770318,0.9959709911361805,0.587737843551797,0.587737843551797,0.9251497005988023,0.8833138856476079
0.25,5,event,0.8814285714285715,0.9777070063694268,0.9943593875906527,0.6490486257928119,0.6490486257928119,0.9344945096554336,0.8990665110851809
0.25,7,event,0.9066666666666666,0.9532967032967034,0.9863013698630136,0.733615221987315,0.733615221987315,0.9448089540717869,0.9165694282380397
0.25,9,event,0.9302681992337165,0.9339853300733496,0.9782433521353747,0.8076109936575053,0.8076109936575053,0.9536527886881384,0.9311551925320887
0.27499999999999997,1,event,0.84,0.9916317991631799,0.9983883964544722,0.5010570824524313,0.5010570824524313,0.9123711340206186,0.8611435239206534
0.27499999999999997,2,event,0.8502747252747253,0.9883720930232558,0.9975825946817083,0.5391120507399577,0.5391120507399577,0.9180571004820169,0.8710618436406068
0.27499999999999997,3,event,0.8660589060308556,0.9791666666666666,0.9951651893634166,0.5961945031712473,0.5961945031712473,0.9261342332208474,0.8850641773628938
0.27499999999999997,4,event,0.8858578607322326,0.9781931464174455,0.9943593875906527,0.6638477801268499,0.6638477801268499,0.9369779802581624,0.9031505250875146
0.27499999999999997,5,event,0.905813097866078,0.971830985915493,0.991941982272361,0.7293868921775899,0.7293868921775899,0.9469230769230769,0.9194865810968494
0.27499999999999997,7,event,0.9299847792998478,0.9525,0.984689766317486,0.8054968287526427,0.8054968287526427,0.9565557729941292,0.9352392065344224
0.27499999999999997,9,event,0.9519685039370078,0.9279279279279279,0.9742143432715552,0.8710359408033826,0.8710359408033826,0.9629629629629629,0.9457409568261377
0.3,1,event,0.8561549100968188,0.9888059701492538,0.9975825946817083,0.5602536997885835,0.5602536997885835,0.9214737625604763,0.8768961493582264
0.3,2,event,0.8679775280898876,0.9827586206896551,0.9959709911361805,0.6025369978858351,0.6025369978858351,0.9275797373358349,0.8873978996499416
0.3,3,event,0.8903318903318903,0.9786585365853658,0.9943593875906527,0.678646934460888,0.678646934460888,0.9394746859535592,0.9072345390898483
