threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,9,event,0.7238762405137186,0.0,0.9991941982272361,0.0,0.0,0.8395396073121192,0.7234539089848308
0.125,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.125,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.125,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.125,4,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.125,5,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.125,7,event,0.7259953161592506,0.8333333333333334,0.9991941982272361,0.010570824524312896,0.010570824524312896,0.840963038318074,0.7263710618436406
0.125,9,event,0.7289334119033589,0.7647058823529411,0.9967767929089444,0.02748414376321353,0.02748414376321353,0.842069434989789,0.7292882147024504
0.15,1,event,0.7312905126694166,1.0,1.0,0.035940803382663845,0.035940803382663845,0.844792375765827,0.733955659276546
0.15,2,event,0.7364985163204748,1.0,1.0,0.0613107822410148,0.0613107822410148,0.8482570061517429,0.7409568261376897
0.15,3,event,0.7408955223880597,1.0,1.0,0.0824524312896406,0.0824524312896406,0.8511659807956105,0.7467911318553092
0.15,4,event,0.7447447447447447,0.9795918367346939,0.9991941982272361,0.1014799154334038,0.1014799154334038,0.8534067446662078,0.751458576429405
0.15,5,event,0.7493946731234867,0.9516129032258065,0.9975825946817083,0.12473572938689217,0.12473572938689217,0.855858969927411,0.7567094515752626
0.15,7,event,0.7589175891758918,0.9204545454545454,0.9943593875906527,0.17124735729386892,0.17124735729386892,0.860830136030694,0.7672112018669778
0.15,9,event,0.7720726361928616,0.9316239316239316,0.9935535858178888,0.23044397463002114,0.23044397463002114,0.86892177589852,0.7829638273045507
0.175,1,event,0.7471402769416015,1.0,1.0,0.11205073995771671,0.11205073995771671,0.8552722260509993,0.7549591598599766
0.175,2,event,0.7557856272838003,1.0,1.0,0.1522198731501057,0.1522198731501057,0.860908775580992,0.766044340723454
0.175,3,event,0.7644882860665845,0.9891304347826086,0.9991941982272361,0.19238900634249473,0.19238900634249473,0.8662242403073699,0.7765460910151692
0.175,4,event,0.7705223880597015,0.9811320754716981,0.9983883964544722,0.21987315010570824,0.21987315010570824,0.8697788697788699,0.7835472578763127
0.175,5,event,0.7798107255520504,0.9612403100775194,0.9959709911361805,0.26215644820295986,0.26215644820295986,0.8747346072186838,0.793465577596266
0.175,7,event,0.796895213454075,0.9464285714285714,0.9927477840451249,0.3361522198731501,0.3361522198731501,0.8841047721564406,0.8115519253208868
0.175,9,event,0.8184840425531915,0.9523809523809523,0.991941982272361,0.42283298097251587,0.42283298097251587,0.8969034608378871,0.8348891481913653
0.2,1,event,0.7651048088779285,1.0,1.0,0.1945031712473573,0.1945031712473573,0.8669228082431016,0.7777129521586931
0.2,2,event,0.776595744680851,1.0,1.0,0.2452431289640592,0.2452431289640592,0.8742514970059879,0.7917152858809802
0.2,3,event,0.7860317460317461,0.9784172661870504,0.9975825946817083,0.28752642706131076,0.28752642706131076,0.8792613636363636,0.8016336056009334
0.2,4,event,0.7996121525533291,0.9760479041916168,0.9967767929089444,0.34460887949260044,0.34460887949260044,0.887374461979914,0.8168028004667445
0.2,5,event,0.8082460732984293,0.967741935483871,0.9951651893634166,0.38054968287526425,0.38054968287526425,0.892018779342723,0.8255542590431738
0.2,7,event,0.8381147540983607,0.944,0.9887187751813054,0.4989429175475687,0.4989429175475687,0.9072088724584104,0.853558926487748
0.2,9,event,0.8622881355932204,0.9328859060402684,0.983883964544722,0.587737843551797,0.587737843551797,0.9190816710575836,0.8745624270711785
0.22499999999999998,1,event,0.7888040712468194,0.9929577464788732,0.9991941982272361,0.29809725158562367,0.29809725158562367,0.8816210451475294,0.8057176196032673
0.22499999999999998,2,event,0.7988394584139265,0.9877300613496932,0.9983883964544722,0.3403805496828753,0.3403805496828753,0.8875358166189111,0.8168028004667445
0.22499999999999998,3,event,0.8130348913759052,0.9692307692307692,0.9951651893634166,0.39957716701902746,0.39957716701902746,0.8949275362318841,0.8308051341890315
0.22499999999999998,4,event,0.8229792919171677,0.9585253456221198,0.9927477840451249,0.4397463002114165,0.4397463002114165,0.8999269539810081,0.8401400233372228
0.22499999999999998,5,event,0.8379850238257318,0.9591836734693877,0.991941982272361,0.49682875264270615,0.49682875264270615,0.9084870848708486,0.8553092182030338
0.22499999999999998,7,event,0.8755364806866953,0.9462025316455697,0.9863013698630136,0.6321353065539113,0.6321353065539113,0.9276241000378932,0.8885647607934656
0.22499999999999998,9,event,0.9032738095238095,0.927027027027027,0.9782433521353747,0.7251585623678647,0.7251585623678647,0.9392649903288202,0.9084014002333722
0.25,1,event,0.8107400130975769,0.983957219251337,0.9975825946817083,0.3890063424947146,0.3890063424947146,0.8945086705202312,0.8296382730455076
0.25,2,event,0.8207171314741036,0.9759615384615384,0.9959709911361805,0.42917547568710357,0.42917547568710357,0.8998907899526756,0.8395565927654609
0.25,3,event,0.8346883468834688,0.9621848739495799,0.9927477840451249,0.48414376321353064,0.48414376321353064,0.9068825910931173,0.8523920653442241
0.25,4,event,0.8522884882108183,0.9558823529411765,0.9903303787268332,0.5496828752642706,0.5496828752642706,0.9161386507640701,0.8687281213535589
0.25,5,event,0.8738417676407698,0.9517684887459807,0.9879129734085415,0.6257928118393234,0.6257928118393234,0.9273827534039334,0.8879813302217037
0.25,7,event,0.9035608308605341,0.9371584699453552,0.9814665592264303,0.7251585623678647,0.7251585623678647,0.9409038238702201,0.9107351225204201
0.25,9,event,0.9270353302611367,0.9174757281553398,0.9726027397260274,0.7991543340380549,0.7991543340380549,0.9492725127801809,0.9247374562427071
0.27499999999999997,1,event,0.823020625415835,0.981042654028436,0.9967767929089444,0.4376321353065539,0.4376321353065539,0.9016034985422741,0.8424737456242707
0.27499999999999997,2,event,0.8400272294077604,0.9714285714285714,0.9943593875906527,0.5031712473572939,0.5031712473572939,0.9107011070110702,0.8588098016336057
0.27499999999999997,3,event,0.8612473721093202,0.9581881533101045,0.9903303787268332,0.5813953488372093,0.5813953488372093,0.9212893553223388,0.8774795799299884
0.27499999999999997,4,event,0.8856729377713459,0.9487951807228916,0.9863013698630136,0.6659619450317125,0.6659619450317125,0.9332825009531072,0.8978996499416569
0.27499999999999997,5,event,0.9039881831610044,0.9527777777777777,0.9863013698630136,0.7251585623678647,0.7251585623678647,0.9433526011560693,0.9142357059509918
0.27499999999999997,7,event,0.9310344827586207,0.9364303178484108,0.9790491539081386,0.8097251585623678,0.8097251585623678,0.9544383346425767,0.9323220536756126
0.27499999999999997,9,event,0.9450117831893166,0.9138321995464853,0.9693795326349718,0.8520084566596194,0.8520084566596194,0.9570405727923629,0.9369894982497082
0.3,1,event,0.8500687757909215,0.9807692307692307,0.9959709911361805,0.5391120507399577,0.5391120507399577,0.9172541743970315,0.8698949824970829
0.3,2,event,0.8686440677966102,0.9630872483221476,0.9911361804995971,0.6067653276955602,0.6067653276955602,0.9258562288295069,0.8850641773628938
0.3,3,event,0.8866425992779784,0.9604863221884499,0.9895245769540693,0.6680761099365751,0.6680761099365751,0.9352627570449352,0.9008168028004667
0.3,4,event,0.9066666666666666,0.9532967032967034,0.9863013698630136,0.733615221987315,0.733615221987315,0.9448089540717869,0.9165694282380397
0.3,5,event,0.9230188679245283,0.9537275064267352,0.9854955680902499,0.7843551797040169,0.7843551797040169,0.9532346063912704,0.9299883313885647
0.3,7,event,0.9410395655546936,0.9341176470588235,0.9774375503626108,0.8393234672304439,0.8393234672304439,0.9588932806324111,0.9393232205367561
0.3,9,event,0.9538216560509554,0.9061135371179039,0.9653505237711523,0.8773784355179705,0.8773784355179705,0.959551461754105,0.941073512252042
