threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.05,9,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.075,1,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.075,2,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.075,3,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,4,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,5,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,7,event,0.7253068381063705,1.0,1.0,0.006342494714587738,0.006342494714587738,0.8407859078590786,0.7257876312718786
0.075,9,event,0.7257309941520468,1.0,1.0,0.008456659619450317,0.008456659619450317,0.841070823449678,0.7263710618436406
0.1,1,event,0.7265807962529274,1.0,1.0,0.012684989429175475,0.012684989429175475,0.8416412343167176,0.7275379229871646
0.1,2,event,0.7265807962529274,1.0,1.0,0.012684989429175475,0.012684989429175475,0.8416412343167176,0.7275379229871646
0.1,3,event,0.7270064440538957,1.0,1.0,0.014799154334038054,0.014799154334038054,0.8419267299864315,0.7281213535589265
0.1,4,event,0.7282863849765259,1.0,1.0,0.021141649048625793,0.021141649048625793,0.8427843803056027,0.7298716452742123
0.1,5,event,0.7287140340575455,1.0,1.0,0.023255813953488372,0.023255813953488372,0.8430706521739131,0.7304550758459744
0.1,7,event,0.7330183106910809,1.0,1.0,0.04439746300211417,0.04439746300211417,0.8459441036128154,0.7362893815635939
0.1,9,event,0.7392601431980907,0.9473684210526315,0.9983883964544722,0.07610993657505286,0.07610993657505286,0.8495029139526912,0.7438739789964994
0.125,1,event,0.7282863849765259,1.0,1.0,0.021141649048625793,0.021141649048625793,0.8427843803056027,0.7298716452742123
0.125,2,event,0.7291421856639247,1.0,1.0,0.02536997885835095,0.02536997885835095,0.8433571185864764,0.7310385064177363
0.125,3,event,0.7308598351001178,1.0,1.0,0.03382663847780127,0.03382663847780127,0.8445049336509017,0.7333722287047841
0.125,4,event,0.733451536643026,1.0,1.0,0.046511627906976744,0.046511627906976744,0.8462325264234571,0.7368728121353559
0.125,5,event,0.7382510410469958,1.0,1.0,0.06976744186046512,0.06976744186046512,0.8494182067077344,0.7432905484247374
0.125,7,event,0.7503022974607013,1.0,1.0,0.12684989429175475,0.12684989429175475,0.8573402417962003,0.7590431738623103
0.125,9,event,0.7643429981492905,0.978494623655914,0.9983883964544722,0.19238900634249473,0.19238900634249473,0.8658280922431867,0.7759626604434072
0.15,1,event,0.7330183106910809,1.0,1.0,0.04439746300211417,0.04439746300211417,0.8459441036128154,0.7362893815635939
0.15,2,event,0.7373737373737373,1.0,1.0,0.06553911205073996,0.06553911205073996,0.8488372093023255,0.7421236872812136
0.15,3,event,0.7417812313209803,1.0,1.0,0.08668076109936575,0.08668076109936575,0.8517501715854496,0.7479579929988331
0.15,4,event,0.7484921592279855,1.0,1.0,0.11839323467230443,0.11839323467230443,0.856157295619179,0.7567094515752626
0.15,5,event,0.7553256238587949,1.0,1.0,0.15010570824524314,0.15010570824524314,0.8606102635228848,0.7654609101516919
0.15,7,event,0.7746566791510612,1.0,1.0,0.23678646934460887,0.23678646934460887,0.8730214562082308,0.7893815635939323
0.15,9,event,0.7961414790996785,0.9811320754716981,0.9975825946817083,0.3298097251585624,0.3298097251585624,0.8855507868383404,0.8133022170361727
0.175,1,event,0.7444511097780444,1.0,1.0,0.09936575052854123,0.09936575052854123,0.8535075653370013,0.751458576429405
0.175,2,event,0.7498489425981874,1.0,1.0,0.12473572938689217,0.12473572938689217,0.8570441988950277,0.7584597432905484
0.175,3,event,0.7571690054911532,1.0,1.0,0.15856236786469344,0.15856236786469344,0.8618055555555556,0.7677946324387398
0.175,4,event,0.7654320987654321,0.9893617021276596,0.9991941982272361,0.19661733615221988,0.19661733615221988,0.8668297797972737,0.7777129521586931
0.175,5,event,0.7745159275452842,0.9911504424778761,0.9991941982272361,0.23678646934460887,0.23678646934460887,0.872624912033779,0.7887981330221704
0.175,7,event,0.7998708844415752,0.9878787878787879,0.9983883964544722,0.34460887949260044,0.34460887949260044,0.8881720430107527,0.8179696616102684
0.175,9,event,0.8256513026052105,0.9769585253456221,0.9959709911361805,0.44820295983086683,0.44820295983086683,0.9028487947406867,0.8448074679113186
0.2,1,event,0.7562461913467398,1.0,1.0,0.1543340380549683,0.1543340380549683,0.861207494795281,0.7666277712952159
0.2,2,event,0.7627535341118623,1.0,1.0,0.1839323467230444,0.1839323467230444,0.8654114365411436,0.7747957992998833
0.2,3,event,0.7711442786069652,0.9905660377358491,0.9991941982272361,0.2219873150105708,0.2219873150105708,0.8704808704808705,0.7847141190198367
0.2,4,event,0.7841772151898734,0.9850746268656716,0.9983883964544722,0.27906976744186046,0.27906976744186046,0.8784119106699751,0.7998833138856476
0.2,5,event,0.7951188182402055,0.9808917197452229,0.9975825946817083,0.32558139534883723,0.32558139534883723,0.8849177984274482,0.8121353558926487
0.2,7,event,0.8213811420982736,0.9807692307692307,0.9967767929089444,0.4312896405919662,0.4312896405919662,0.900618856934838,0.8407234539089848
0.2,9,event,0.8544698544698545,0.9704797047970479,0.9935535858178888,0.5560253699788583,0.5560253699788583,0.9187779433681074,0.8728121353558926
0.22499999999999998,1,event,0.7692307692307693,0.9901960784313726,0.9991941982272361,0.2135306553911205,0.2135306553911205,0.8692604276200492,0.7823803967327888
0.22499999999999998,2,event,0.7740324594257179,0.9910714285714286,0.9991941982272361,0.2346723044397463,0.2346723044397463,0.8723179739711572,0.7882147024504084
0.22499999999999998,3,event,0.7873015873015873,0.9928057553956835,0.9991941982272361,0.2917547568710359,0.2917547568710359,0.8806818181818182,0.8039673278879813
0.22499999999999998,4,event,0.7997416020671835,0.9819277108433735,0.9975825946817083,0.34460887949260044,0.34460887949260044,0.8877733954822518,0.8173862310385064
0.22499999999999998,5,event,0.8160843770599868,0.9847715736040609,0.9975825946817083,0.41014799154334036,0.41014799154334036,0.8977519941986947,0.8354725787631272
0.22499999999999998,7,event,0.8564493758668515,0.9779411764705882,0.9951651893634166,0.5623678646934461,0.5623678646934461,0.9206112560566531,0.8757292882147024
0.22499999999999998,9,event,0.8770550393137956,0.9555555555555556,0.9887187751813054,0.6363636363636364,0.6363636363636364,0.9295454545454545,0.8914819136522754
0.25,1,event,0.7808564231738035,0.9920634920634921,0.9991941982272361,0.2642706131078224,0.2642706131078224,0.8766348533050548,0.7963827304550758
0.25,2,event,0.7928388746803069,0.9933333333333333,0.9991941982272361,0.3150105708245243,0.3150105708245243,0.8841354723707664,0.8103850641773629
0.25,3,event,0.805591677503251,0.9886363636363636,0.9983883964544722,0.3678646934460888,0.3678646934460888,0.8916876574307304,0.82438739789965
0.25,4,event,0.8204108681245859,0.9853658536585366,0.9975825946817083,0.427061310782241,0.427061310782241,0.9003636363636365,0.8401400233372228
0.25,5,event,0.83921302578019,0.9833333333333333,0.9967767929089444,0.4989429175475687,0.4989429175475687,0.9112338858195211,0.8593932322053676
0.25,7,event,0.8755334281650071,0.9675324675324676,0.991941982272361,0.6300211416490487,0.6300211416490487,0.9301095579901776,0.8920653442240374
0.25,9,event,0.8978692138133725,0.9461756373937678,0.984689766317486,0.7061310782241015,0.7061310782241015,0.9392774788624135,0.9078179696616102
0.27499999999999997,1,event,0.7958921694480102,0.9935897435897436,0.9991941982272361,0.3276955602536998,0.3276955602536998,0.886030725259021,0.8138856476079347
0.27499999999999997,2,event,0.8109875735775016,0.9945945945945946,0.9991941982272361,0.3890063424947146,0.3890063424947146,0.8953068592057762,0.8308051341890315
0.27499999999999997,3,event,0.8264352469959947,0.9861111111111112,0.9975825946817083,0.4503171247357294,0.4503171247357294,0.9039795545819642,0.8465577596266044
0.27499999999999997,4,event,0.8466803559206023,0.9841897233201581,0.9967767929089444,0.5264270613107822,0.5264270613107822,0.9156180606957808,0.8669778296382731
0.27499999999999997,5,event,0.8632240055826936,0.9857651245551602,0.9967767929089444,0.5856236786469344,0.5856236786469344,0.925205684367988,0.8833138856476079
0.27499999999999997,7,event,0.8974358974358975,0.9541547277936963,0.9871071716357775,0.7040169133192389,0.7040169133192389,0.9401381427475057,0.9089848308051341
0.27499999999999997,9,event,0.9178598342125094,0.9405684754521964,0.9814665592264303,0.7695560253699789,0.7695560253699789,0.9485981308411214,0.9229871645274212
0.3,1,event,0.8124590163934426,0.9894179894179894,0.9983883964544722,0.3953488372093023,0.3953488372093023,0.89587852494577,0.8319719953325554
0.3,2,event,0.82876254180602,0.9908675799086758,0.9983883964544722,0.4587737843551797,0.4587737843551797,0.9057017543859649,0.8494749124854143
0.3,3,event,0.8484224965706447,0.984375,0.9967767929089444,0.53276955602537,0.53276955602537,0.9166357910337161,0.8687281213535589
0.3,4,event,0.8607242339832869,0.9820143884892086,0.9959709911361805,0.5771670190274841,0.5771670190274841,0.9234217407545761,0.8803967327887982
