threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.075,2,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,3,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,4,event,0.7253068381063705,1.0,1.0,0.006342494714587738,0.006342494714587738,0.8407859078590786,0.7257876312718786
0.075,5,event,0.7265807962529274,1.0,1.0,0.012684989429175475,0.012684989429175475,0.8416412343167176,0.7275379229871646
0.075,7,event,0.7278592375366569,1.0,1.0,0.019027484143763214,0.019027484143763214,0.8424983027834352,0.7292882147024504
0.075,9,event,0.7325855962219598,1.0,1.0,0.042283298097251586,0.042283298097251586,0.8456558773424191,0.735705950991832
0.1,1,event,0.7287140340575455,1.0,1.0,0.023255813953488372,0.023255813953488372,0.8430706521739131,0.7304550758459744
0.1,2,event,0.7325855962219598,1.0,1.0,0.042283298097251586,0.042283298097251586,0.8456558773424191,0.735705950991832
0.1,3,event,0.7347542924807579,1.0,1.0,0.052854122621564484,0.052854122621564484,0.8470989761092149,0.7386231038506418
0.1,4,event,0.7395709177592372,1.0,1.0,0.07610993657505286,0.07610993657505286,0.8502911956149367,0.7450408401400234
0.1,5,event,0.7422248803827751,1.0,1.0,0.08879492600422834,0.08879492600422834,0.8520425677995194,0.748541423570595
0.1,7,event,0.747285886610374,0.9642857142857143,0.9983883964544722,0.11416490486257928,0.11416490486257928,0.8547775094860297,0.7543757292882147
0.1,9,event,0.7572041692213366,0.927710843373494,0.9951651893634166,0.16279069767441862,0.16279069767441862,0.8600278551532033,0.7654609101516919
0.125,1,event,0.7408955223880597,1.0,1.0,0.0824524312896406,0.0824524312896406,0.8511659807956105,0.7467911318553092
0.125,2,event,0.7469879518072289,0.9814814814814815,0.9991941982272361,0.11205073995771671,0.11205073995771671,0.8548776284039986,0.7543757292882147
0.125,3,event,0.7519708914493632,0.9846153846153847,0.9991941982272361,0.13530655391120508,0.13530655391120508,0.8581314878892734,0.7607934655775963
0.125,4,event,0.7550274223034735,0.9726027397260274,0.9983883964544722,0.15010570824524314,0.15010570824524314,0.8598195697432338,0.764294049008168
0.125,5,event,0.7613776137761378,0.9659090909090909,0.9975825946817083,0.17970401691331925,0.17970401691331925,0.8636205092431113,0.7718786464410735
0.125,7,event,0.7723577235772358,0.9478260869565217,0.9951651893634166,0.23044397463002114,0.23044397463002114,0.8697183098591549,0.7841306884480747
0.125,9,event,0.7933032839665164,0.9440993788819876,0.9927477840451249,0.321353065539112,0.321353065539112,0.8818897637795275,0.8074679113185531
0.15,1,event,0.7584097859327217,0.9873417721518988,0.9991941982272361,0.1649048625792812,0.1649048625792812,0.8623087621696801,0.7689614935822637
0.15,2,event,0.7640172520024646,0.989010989010989,0.9991941982272361,0.19027484143763213,0.19027484143763213,0.8659217877094972,0.7759626604434072
0.15,3,event,0.7705223880597015,0.9811320754716981,0.9983883964544722,0.21987315010570824,0.21987315010570824,0.8697788697788699,0.7835472578763127
0.15,4,event,0.7815656565656566,0.9769230769230769,0.9975825946817083,0.26849894291754756,0.26849894291754756,0.8764601769911504,0.7963827304550758
0.15,5,event,0.7873965626989179,0.972027972027972,0.9967767929089444,0.2938689217758985,0.2938689217758985,0.879800853485064,0.8028004667444574
0.15,7,event,0.8071895424836601,0.967391304347826,0.9951651893634166,0.3763213530655391,0.3763213530655391,0.8913749548899315,0.82438739789965
0.15,9,event,0.8317567567567568,0.9572649572649573,0.991941982272361,0.47357293868921774,0.47357293868921774,0.9048144064682102,0.8488914819136523
0.175,1,event,0.7740324594257179,0.9910714285714286,0.9991941982272361,0.2346723044397463,0.2346723044397463,0.8723179739711572,0.7882147024504084
0.175,2,event,0.7836812144212524,0.9849624060150376,0.9983883964544722,0.2769556025369979,0.2769556025369979,0.8781006378454997,0.7992998833138857
0.175,3,event,0.7956298200514139,0.9810126582278481,0.9975825946817083,0.3276955602536998,0.3276955602536998,0.8852341794780122,0.8127187864644108
0.175,4,event,0.8037686809616634,0.9771428571428571,0.9967767929089444,0.36152219873150104,0.36152219873150104,0.8899280575539569,0.8214702450408401
0.175,5,event,0.8094302554027505,0.9732620320855615,0.9959709911361805,0.38477801268498946,0.38477801268498946,0.8930635838150289,0.8273045507584598
0.175,7,event,0.8374149659863945,0.9590163934426229,0.991941982272361,0.49471458773784355,0.49471458773784355,0.9081519734415345,0.8547257876312718
0.175,9,event,0.8604488078541375,0.9513888888888888,0.9887187751813054,0.5792811839323467,0.5792811839323467,0.9201349831271091,0.8757292882147024
0.2,1,event,0.7947402180885182,0.9870967741935484,0.9983883964544722,0.32346723044397463,0.32346723044397463,0.8849999999999999,0.8121353558926487
0.2,2,event,0.8028534370946823,0.9825581395348837,0.9975825946817083,0.3572938689217759,0.3572938689217759,0.8896873877111031,0.8208868144690782
0.2,3,event,0.8126232741617357,0.9740932642487047,0.9959709911361805,0.3974630021141649,0.3974630021141649,0.8950036205648081,0.8308051341890315
0.2,4,event,0.8238825883922615,0.9720930232558139,0.9951651893634166,0.4418604651162791,0.4418604651162791,0.9014598540145985,0.8424737456242707
0.2,5,event,0.8332207967589467,0.9699570815450643,0.9943593875906527,0.47780126849894294,0.47780126849894294,0.9066862601028656,0.851808634772462
0.2,7,event,0.8570432357043236,0.9571428571428572,0.9903303787268332,0.5665961945031712,0.5665961945031712,0.9188785046728972,0.8733955659276547
0.2,9,event,0.8788530465949821,0.9529780564263323,0.9879129734085415,0.642706131078224,0.642706131078224,0.9301972685887709,0.8926487747957993
0.22499999999999998,1,event,0.8086218158066623,0.9836065573770492,0.9975825946817083,0.38054968287526425,0.38054968287526425,0.8932178932178931,0.8273045507584598
0.22499999999999998,2,event,0.8193249503639973,0.9852216748768473,0.9975825946817083,0.42283298097251587,0.42283298097251587,0.8997093023255814,0.838973162193699
0.22499999999999998,3,event,0.8317631224764468,0.9780701754385965,0.9959709911361805,0.4714587737843552,0.4714587737843552,0.9064906490649065,0.8512252042007001
0.22499999999999998,4,event,0.8441558441558441,0.9760956175298805,0.9951651893634166,0.5179704016913319,0.5179704016913319,0.9134615384615383,0.8634772462077013
0.22499999999999998,5,event,0.85625,0.9708029197080292,0.9935535858178888,0.5623678646934461,0.5623678646934461,0.9198060425214472,0.8745624270711785
0.22499999999999998,7,event,0.8796561604584527,0.9591194968553459,0.9895245769540693,0.6448202959830867,0.6448202959830867,0.931361395525218,0.8943990665110851
0.22499999999999998,9,event,0.9053254437869822,0.9530386740331491,0.9863013698630136,0.7293868921775899,0.7293868921775899,0.9440802159660624,0.9154025670945157
0.25,1,event,0.8247834776815456,0.9859154929577465,0.9975825946817083,0.4439746300211416,0.4439746300211416,0.9029905178701678,0.8448074679113186
0.25,2,event,0.8375084631008801,0.9831223628691983,0.9967767929089444,0.492600422832981,0.492600422832981,0.9102281089036056,0.8576429404900817
0.25,3,event,0.8506538196834136,0.9808429118773946,0.9959709911361805,0.5412262156448203,0.5412262156448203,0.9175946547884187,0.8704784130688448
0.25,4,event,0.8623340321453529,0.9752650176678446,0.9943593875906527,0.5835095137420718,0.5835095137420718,0.9236526946107784,0.8809801633605601
0.25,5,event,0.874468085106383,0.9736842105263158,0.9935535858178888,0.6257928118393234,0.6257928118393234,0.9302150132025649,0.8920653442240374
0.25,7,event,0.9094283593170007,0.9564032697547684,0.9871071716357775,0.7420718816067653,0.7420718816067653,0.9466769706336939,0.9194865810968494
0.25,9,event,0.9215094339622641,0.9485861182519281,0.983883964544722,0.7801268498942917,0.7801268498942917,0.9516757599376462,0.9276546091015169
0.27499999999999997,1,event,0.8410326086956522,0.987603305785124,0.9975825946817083,0.5052854122621564,0.5052854122621564,0.9126428308145964,0.8617269544924154
0.27499999999999997,2,event,0.8525155065472089,0.9847908745247148,0.9967767929089444,0.547568710359408,0.547568710359408,0.9190193164933135,0.8728121353558926
0.27499999999999997,3,event,0.8666666666666667,0.9792387543252595,0.9951651893634166,0.5983086680761099,0.5983086680761099,0.9264816204051013,0.8856476079346558
0.27499999999999997,4,event,0.8852223816355811,0.978125,0.9943593875906527,0.6617336152219874,0.6617336152219874,0.9366223908918406,0.9025670945157527
0.27499999999999997,5,event,0.8997805413313826,0.968299711815562,0.9911361804995971,0.7103594080338267,0.7103594080338267,0.9432515337423313,0.9136522753792299
0.27499999999999997,7,event,0.9257575757575758,0.9517766497461929,0.984689766317486,0.7928118393234672,0.7928118393234672,0.9543147208121828,0.9317386231038507
0.27499999999999997,9,event,0.9396284829721362,0.9360189573459715,0.9782433521353747,0.8350951374207188,0.8350951374207188,0.9585471772601658,0.9387397899649942
0.3,1,event,0.8567474048442907,0.9888475836431226,0.9975825946817083,0.5623678646934461,0.5623678646934461,0.9218168279970216,0.8774795799299884
0.3,2,event,0.8692902319044272,0.9862542955326461,0.9967767929089444,0.6067653276955602,0.6067653276955602,0.9286786786786787,0.8891481913652275
