threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.05,2,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.05,3,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.05,4,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.05,5,event,0.7253068381063705,1.0,1.0,0.006342494714587738,0.006342494714587738,0.8407859078590786,0.7257876312718786
0.05,7,event,0.7253068381063705,1.0,1.0,0.006342494714587738,0.006342494714587738,0.8407859078590786,0.7257876312718786
0.05,9,event,0.7257309941520468,1.0,1.0,0.008456659619450317,0.008456659619450317,0.841070823449678,0.7263710618436406
0.075,1,event,0.7261556465769455,1.0,1.0,0.010570824524312896,0.010570824524312896,0.8413559322033898,0.7269544924154026
0.075,2,event,0.7270064440538957,1.0,1.0,0.014799154334038054,0.014799154334038054,0.8419267299864315,0.7281213535589265
0.075,3,event,0.7287140340575455,1.0,1.0,0.023255813953488372,0.023255813953488372,0.8430706521739131,0.7304550758459744
0.075,4,event,0.7291421856639247,1.0,1.0,0.02536997885835095,0.02536997885835095,0.8433571185864764,0.7310385064177363
0.075,5,event,0.7308598351001178,1.0,1.0,0.03382663847780127,0.03382663847780127,0.8445049336509017,0.7333722287047841
0.075,7,event,0.7338852749852158,1.0,1.0,0.048625792811839326,0.048625792811839326,0.8465211459754434,0.7374562427071178
0.075,9,event,0.7356253704801423,1.0,1.0,0.05708245243128964,0.05708245243128964,0.8476775956284154,0.7397899649941657
0.1,1,event,0.7308598351001178,1.0,1.0,0.03382663847780127,0.03382663847780127,0.8445049336509017,0.7333722287047841
0.1,2,event,0.7338852749852158,1.0,1.0,0.048625792811839326,0.048625792811839326,0.8465211459754434,0.7374562427071178
0.1,3,event,0.736061684460261,1.0,1.0,0.05919661733615222,0.05919661733615222,0.8479672019132217,0.7403733955659276
0.1,4,event,0.7386904761904762,1.0,1.0,0.07188160676532769,0.07188160676532769,0.8497090037658337,0.7438739789964994
0.1,5,event,0.7413381123058542,1.0,1.0,0.08456659619450317,0.08456659619450317,0.8514579759862778,0.7473745624270712
0.1,7,event,0.7471402769416015,1.0,1.0,0.11205073995771671,0.11205073995771671,0.8552722260509993,0.7549591598599766
0.1,9,event,0.758557457212714,1.0,1.0,0.1649048625792812,0.1649048625792812,0.8627042057698991,0.7695449241540256
0.125,1,event,0.7395709177592372,1.0,1.0,0.07610993657505286,0.07610993657505286,0.8502911956149367,0.7450408401400234
0.125,2,event,0.7435590173756741,1.0,1.0,0.09513742071881606,0.09513742071881606,0.8529209621993128,0.750291715285881
0.125,3,event,0.7484921592279855,1.0,1.0,0.11839323467230443,0.11839323467230443,0.856157295619179,0.7567094515752626
0.125,4,event,0.7516656571774682,1.0,1.0,0.1331923890063425,0.1331923890063425,0.8582295988934994,0.7607934655775963
0.125,5,event,0.7562461913467398,1.0,1.0,0.1543340380549683,0.1543340380549683,0.861207494795281,0.7666277712952159
0.125,7,event,0.7698511166253101,1.0,1.0,0.2156448202959831,0.2156448202959831,0.8699614440939362,0.7835472578763127
0.125,9,event,0.7831858407079646,0.9848484848484849,0.9983883964544722,0.2748414376321353,0.2748414376321353,0.87778958554729,0.7987164527421237
0.15,1,event,0.7493961352657005,1.0,1.0,0.1226215644820296,0.1226215644820296,0.8567483603727996,0.7578763127187864
