threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7883026064844246,0.9929078014184397,0.9991941982272361,0.2959830866807611,0.2959830866807611,0.8813077469793886,0.8051341890315052
0.05,2,event,0.7943625880845612,0.9934640522875817,0.9991941982272361,0.321353065539112,0.321353065539112,0.8850820842255531,0.8121353558926487
0.05,3,event,0.8045454545454546,0.9885057471264368,0.9983883964544722,0.36363636363636365,0.36363636363636365,0.8910463861920171,0.823220536756126
0.05,4,event,0.8159630606860159,0.9797979797979798,0.9967767929089444,0.41014799154334036,0.41014799154334036,0.8973521944142184,0.8348891481913653
0.05,5,event,0.8263193052772211,0.9815668202764977,0.9967767929089444,0.4503171247357294,0.4503171247357294,0.9035792549306063,0.8459743290548425
0.05,7,event,0.8497587870434183,0.9695817490494296,0.9935535858178888,0.5391120507399577,0.5391120507399577,0.9160475482912332,0.868144690781797
0.05,9,event,0.8789398280802292,0.9559748427672956,0.9887187751813054,0.642706131078224,0.642706131078224,0.9306029579067122,0.8932322053675612
0.075,1,event,0.8072916666666666,0.9943820224719101,0.9991941982272361,0.37420718816067655,0.37420718816067655,0.8930500540151243,0.8267211201866977
0.075,2,event,0.8183619550858653,0.99,0.9983883964544722,0.4186046511627907,0.4186046511627907,0.8994555353901995,0.838389731621937
0.075,3,event,0.8312037659717552,0.9779735682819384,0.9959709911361805,0.4693446088794926,0.4693446088794926,0.906158357771261,0.8506417736289381
0.075,4,event,0.8453114305270363,0.9762845849802372,0.9951651893634166,0.5221987315010571,0.5221987315010571,0.9141376757957068,0.8646441073512252
0.075,5,event,0.8568450312717165,0.9709090909090909,0.9935535858178888,0.5644820295983086,0.5644820295983086,0.9201492537313433,0.8751458576429405
0.075,7,event,0.884255930984903,0.9659442724458205,0.9911361804995971,0.6596194503171248,0.6596194503171248,0.9346504559270516,0.8996499416569428
0.075,9,event,0.9038461538461539,0.9475138121546961,0.984689766317486,0.7251585623678647,0.7251585623678647,0.9425376012340918,0.9130688448074679
0.1,1,event,0.822826808228268,0.9951690821256038,0.9991941982272361,0.4355179704016913,0.4355179704016913,0.9024745269286755,0.8436406067677946
0.1,2,event,0.8346828609986505,0.9827586206896551,0.9967767929089444,0.4820295983086681,0.4820295983086681,0.9085567388909291,0.8547257876312718
0.1,3,event,0.8505509641873278,0.9770992366412213,0.9951651893634166,0.5412262156448203,0.5412262156448203,0.9171927218715187,0.8698949824970829
0.1,4,event,0.8618283321702721,0.9786476868327402,0.9951651893634166,0.5813953488372093,0.5813953488372093,0.9237097980553477,0.8809801633605601
0.1,5,event,0.8725212464589235,0.9701986754966887,0.9927477840451249,0.6194503171247357,0.6194503171247357,0.928759894459103,0.8897316219369895
0.1,7,event,0.89546783625731,0.953757225433526,0.9871071716357775,0.6976744186046512,0.6976744186046512,0.9390571100038329,0.9072345390898483
0.1,9,event,0.9148455162019593,0.9302325581395349,0.9782433521353747,0.7610993657505285,0.7610993657505285,0.9454828660436136,0.9183197199533255
0.125,1,event,0.835357624831309,0.9870689655172413,0.9975825946817083,0.48414376321353064,0.48414376321353064,0.9092912229159016,0.8558926487747958
0.125,2,event,0.8494845360824742,0.9806949806949807,0.9959709911361805,0.5369978858350951,0.5369978858350951,0.916913946587537,0.8693115519253208
0.125,3,event,0.8618283321702721,0.9786476868327402,0.9951651893634166,0.5813953488372093,0.5813953488372093,0.9237097980553477,0.8809801633605601
0.125,4,event,0.8764204545454546,0.9771241830065359,0.9943593875906527,0.6321353065539113,0.6321353065539113,0.931672329180823,0.8943990665110851
0.125,5,event,0.8868060562364816,0.9663608562691132,0.9911361804995971,0.6680761099365751,0.6680761099365751,0.9360730593607305,0.9019836639439907
0.125,7,event,0.9120059656972409,0.9517426273458445,0.9854955680902499,0.7505285412262156,0.7505285412262156,0.9473276529821844,0.9206534422403734
0.125,9,event,0.9223744292237442,0.9275,0.9766317485898469,0.7843551797040169,0.7843551797040169,0.9487279843444226,0.9235705950991832
0.15,1,event,0.8472602739726027,0.984251968503937,0.9967767929089444,0.5285412262156448,0.5285412262156448,0.9159570529433544,0.867561260210035
0.15,2,event,0.860125260960334,0.9819494584837545,0.9959709911361805,0.5750528541226215,0.5750528541226215,0.923076923076923,0.8798133022170361
0.15,3,event,0.8709449929478138,0.9797297297297297,0.9951651893634166,0.6131078224101479,0.6131078224101479,0.9289206468597216,0.8897316219369895
0.15,4,event,0.882605583392985,0.9747634069400631,0.9935535858178888,0.653276955602537,0.653276955602537,0.9347990902198636,0.8996499416569428
0.15,5,event,0.8931686046511628,0.9644970414201184,0.9903303787268332,0.6892177589852009,0.6892177589852009,0.9392434084829958,0.9072345390898483
0.15,7,event,0.9236006051437217,0.9489795918367347,0.983883964544722,0.7864693446088795,0.7864693446088795,0.9527896995708155,0.9294049008168028
0.15,9,event,0.937984496124031,0.9268867924528302,0.9750201450443191,0.8308668076109936,0.8308668076109936,0.9561438166732517,0.9352392065344224
0.175,1,event,0.8566481994459834,0.9851851851851852,0.9967767929089444,0.5623678646934461,0.5623678646934461,0.9214152700186219,0.8768961493582264
0.175,2,event,0.8685874912157414,0.9828178694158075,0.9959709911361805,0.6046511627906976,0.6046511627906976,0.927927927927928,0.8879813302217037
0.175,3,event,0.8790035587188612,0.9805825242718447,0.9951651893634166,0.6405919661733616,0.6405919661733616,0.9334845049130763,0.897316219369895
0.175,4,event,0.8908170643528561,0.972809667673716,0.9927477840451249,0.6807610993657506,0.6807610993657506,0.9390243902439024,0.9066511085180864
0.175,5,event,0.9016874541452677,0.9658119658119658,0.9903303787268332,0.7167019027484144,0.7167019027484144,0.9439324116743472,0.9148191365227538
0.175,7,event,0.9291158536585366,0.945273631840796,0.9822723609991942,0.8033826638477801,0.8033826638477801,0.954954954954955,0.9329054842473745
0.175,9,event,0.9443573667711599,0.9178082191780822,0.9709911361804996,0.8498942917547568,0.8498942917547568,0.9574890742947954,0.9375729288214703
0.2,1,event,0.8632240055826936,0.9857651245551602,0.9967767929089444,0.5856236786469344,0.5856236786469344,0.925205684367988,0.8833138856476079
0.2,2,event,0.8741159830268741,0.9833333333333333,0.9959709911361805,0.6236786469344608,0.6236786469344608,0.9310734463276836,0.8932322053675612
0.2,3,event,0.8857758620689655,0.9751552795031055,0.9935535858178888,0.6638477801268499,0.6638477801268499,0.9365742499050513,0.9025670945157527
0.2,4,event,0.896,0.9734513274336283,0.9927477840451249,0.6976744186046512,0.6976744186046512,0.9418960244648319,0.911318553092182
0.2,5,event,0.9096296296296297,0.9642857142857143,0.9895245769540693,0.7420718816067653,0.7420718816067653,0.947896565032806,0.9212368728121354
0.2,7,event,0.9367771781033153,0.9376498800959233,0.9790491539081386,0.8266384778012685,0.8266384778012685,0.9574468085106382,0.9369894982497082
0.2,9,event,0.9501582278481012,0.9111111111111111,0.967767929089444,0.8668076109936576,0.8668076109936576,0.9588822355289421,0.9399066511085181
0.22499999999999998,1,event,0.8680701754385964,0.986159169550173,0.9967767929089444,0.6025369978858351,0.6025369978858351,0.9279819954988747,0.8879813302217037
0.22499999999999998,2,event,0.8790035587188612,0.9805825242718447,0.9951651893634166,0.6405919661733616,0.6405919661733616,0.9334845049130763,0.897316219369895
