threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.8006451612903226,1.0,1.0,0.346723044397463,0.346723044397463,0.8892869939089931,0.8197199533255543
0.05,2,event,0.8099281515349445,0.994535519125683,0.9991941982272361,0.38477801268498946,0.38477801268498946,0.8946608946608946,0.8296382730455076
0.05,3,event,0.8201058201058201,0.995049504950495,0.9991941982272361,0.4249471458773784,0.4249471458773784,0.9008354522339267,0.8407234539089848
0.05,4,event,0.8349056603773585,0.991304347826087,0.9983883964544722,0.4820295983086681,0.4820295983086681,0.9093577981651375,0.8558926487747958
0.05,5,event,0.847469220246238,0.9920634920634921,0.9983883964544722,0.5285412262156448,0.5285412262156448,0.9167591564927858,0.8687281213535589
0.05,7,event,0.8765957446808511,0.9835526315789473,0.9959709911361805,0.6321353065539113,0.6321353065539113,0.932478310071671,0.8955659276546091
0.05,9,event,0.8946986201888163,0.973293768545994,0.9927477840451249,0.693446088794926,0.693446088794926,0.9411764705882353,0.9101516919486581
0.075,1,event,0.8137704918032787,1.0,1.0,0.39957716701902746,0.39957716701902746,0.8973246565437455,0.8343057176196033
0.075,2,event,0.824468085106383,0.9952380952380953,0.9991941982272361,0.4418604651162791,0.4418604651162791,0.9034608378870674,0.8453908984830805
0.075,3,event,0.8367071524966262,0.9956896551724138,0.9991941982272361,0.4883720930232558,0.4883720930232558,0.9107601909658466,0.8582263710618436
0.075,4,event,0.8543823326432022,0.9886792452830189,0.9975825946817083,0.5539112050739958,0.5539112050739958,0.9204460966542751,0.8751458576429405
0.075,5,event,0.8669467787114846,0.9895104895104895,0.9975825946817083,0.5983086680761099,0.5983086680761099,0.9276882727613339,0.8873978996499416
0.075,7,event,0.896,0.9734513274336283,0.9927477840451249,0.6976744186046512,0.6976744186046512,0.9418960244648319,0.911318553092182
0.075,9,event,0.9151154132539091,0.967654986522911,0.9903303787268332,0.758985200845666,0.758985200845666,0.9512383900928792,0.926487747957993
0.1,1,event,0.825016633399867,0.995260663507109,0.9991941982272361,0.4439746300211416,0.4439746300211416,0.9037900874635569,0.8459743290548425
0.1,2,event,0.8367071524966262,0.9956896551724138,0.9991941982272361,0.4883720930232558,0.4883720930232558,0.9107601909658466,0.8582263710618436
0.1,3,event,0.8516483516483516,0.9961240310077519,0.9991941982272361,0.5433403805496829,0.5433403805496829,0.9195402298850573,0.8733955659276547
0.1,4,event,0.8693820224719101,0.9896551724137931,0.9975825946817083,0.6067653276955602,0.6067653276955602,0.9290806754221389,0.8897316219369895
0.1,5,event,0.8879310344827587,0.984472049689441,0.9959709911361805,0.6701902748414377,0.6701902748414377,0.9388530193695405,0.9060676779463244
0.1,7,event,0.9104367135455218,0.9696969696969697,0.9911361804995971,0.7441860465116279,0.7441860465116279,0.9490740740740741,0.9229871645274212
0.1,9,event,0.926737160120846,0.9641025641025641,0.9887187751813054,0.7949260042283298,0.7949260042283298,0.9567251461988304,0.9352392065344224
0.125,1,event,0.8327736736064473,0.9955555555555555,0.9991941982272361,0.47357293868921774,0.47357293868921774,0.9084249084249084,0.8541423570595099
0.125,2,event,0.8458390177353342,0.9959677419354839,0.9991941982272361,0.5221987315010571,0.5221987315010571,0.9161433321019579,0.867561260210035
0.125,3,event,0.8628133704735376,0.9928057553956835,0.9983883964544722,0.5835095137420718,0.5835095137420718,0.92566305565932,0.8838973162193698
0.125,4,event,0.8790035587188612,0.9805825242718447,0.9951651893634166,0.6405919661733616,0.6405919661733616,0.9334845049130763,0.897316219369895
0.125,5,event,0.899343544857768,0.9766763848396501,0.9935535858178888,0.7082452431289641,0.7082452431289641,0.9441041347626339,0.9148191365227538
0.125,7,event,0.9163554891710232,0.9626666666666667,0.9887187751813054,0.7632135306553911,0.7632135306553911,0.9511627906976745,0.926487747957993
0.125,9,event,0.9343009931245225,0.9555555555555556,0.9854955680902499,0.8181818181818182,0.8181818181818182,0.9592156862745099,0.9393232205367561
0.15,1,event,0.8382949932341002,0.9915254237288136,0.9983883964544722,0.49471458773784355,0.49471458773784355,0.9113644722324384,0.8593932322053676
0.15,2,event,0.8556629834254144,0.9924812030075187,0.9983883964544722,0.5581395348837209,0.5581395348837209,0.9215321680922276,0.8768961493582264
0.15,3,event,0.8773049645390071,0.9868421052631579,0.9967767929089444,0.6342494714587738,0.6342494714587738,0.9332327423613731,0.896732788798133
0.15,4,event,0.8921852387843705,0.9759036144578314,0.9935535858178888,0.6849894291754757,0.6849894291754757,0.9401448722836447,0.9084014002333722
0.15,5,event,0.9071481208548269,0.9719887955182073,0.991941982272361,0.733615221987315,0.733615221987315,0.947652040030793,0.9206534422403734
0.15,7,event,0.928030303030303,0.9593908629441624,0.9871071716357775,0.7991543340380549,0.7991543340380549,0.9566575556423271,0.9352392065344224
0.15,9,event,0.9419054996127033,0.9408983451536643,0.9798549556809025,0.8414376321353065,0.8414376321353065,0.9605055292259084,0.941656942823804
0.175,1,event,0.8501718213058419,0.9845559845559846,0.9967767929089444,0.5391120507399577,0.5391120507399577,0.9176557863501482,0.8704784130688448
0.175,2,event,0.8662464985994398,0.986013986013986,0.9967767929089444,0.5961945031712473,0.5961945031712473,0.9269389284376172,0.8862310385064177
0.175,3,event,0.882689556509299,0.9778481012658228,0.9943593875906527,0.653276955602537,0.653276955602537,0.9352027283061766,0.9002333722287048
0.175,4,event,0.8980335032774945,0.9765395894428153,0.9935535858178888,0.7040169133192389,0.7040169133192389,0.943381790359602,0.9136522753792299
0.175,5,event,0.9145616641901931,0.9728260869565217,0.991941982272361,0.7568710359408034,0.7568710359408034,0.9516814843448009,0.927071178529755
0.175,7,event,0.9329779131759329,0.9600997506234414,0.9871071716357775,0.813953488372093,0.813953488372093,0.9592795614722005,0.9393232205367561
0.175,9,event,0.9498432601880877,0.9337899543378996,0.9766317485898469,0.864693446088795,0.864693446088795,0.9630512514898688,0.9457409568261377
0.2,1,event,0.8578363384188626,0.9852941176470589,0.9967767929089444,0.5665961945031712,0.5665961945031712,0.9221021244875139,0.8780630105017503
0.2,2,event,0.8729710656316161,0.9865319865319865,0.9967767929089444,0.6194503171247357,0.6194503171247357,0.9307750188111362,0.8926487747957993
0.2,3,event,0.8916184971098265,0.9787878787878788,0.9943593875906527,0.6828752642706131,0.6828752642706131,0.9401904761904762,0.9084014002333722
0.2,4,event,0.9086219602063376,0.9775910364145658,0.9935535858178888,0.7378435517970402,0.7378435517970402,0.9491916859122402,0.9229871645274212
0.2,5,event,0.9227886056971514,0.9736842105263158,0.991941982272361,0.7822410147991543,0.7822410147991543,0.9561165048543689,0.9340723453908985
0.2,7,event,0.9414483821263482,0.9543269230769231,0.984689766317486,0.8393234672304439,0.8393234672304439,0.9625836943678614,0.9445740956826137
0.2,9,event,0.953579858379229,0.9345372460496614,0.9766317485898469,0.8752642706131079,0.8752642706131079,0.9649681528662422,0.9486581096849475
0.22499999999999998,1,event,0.8620209059233449,0.985663082437276,0.9967767929089444,0.5813953488372093,0.5813953488372093,0.9245142002989536,0.882147024504084
0.22499999999999998,2,event,0.8810541310541311,0.9870967741935484,0.9967767929089444,0.6469344608879493,0.6469344608879493,0.9353497164461247,0.9002333722287048
0.22499999999999998,3,event,0.9006574141709277,0.9768115942028985,0.9935535858178888,0.7124735729386892,0.7124735729386892,0.9448275862068967,0.9159859976662778
0.22499999999999998,4,event,0.9133333333333333,0.978021978021978,0.9935535858178888,0.7526427061310782,0.7526427061310782,0.9517560787340794,0.927071178529755
0.22499999999999998,5,event,0.9276563677467973,0.9741602067183462,0.991941982272361,0.7970401691331924,0.7970401691331924,0.9587227414330217,0.9381563593932322
0.22499999999999998,7,event,0.945046439628483,0.95260663507109,0.983883964544722,0.8498942917547568,0.8498942917547568,0.9640742202921438,0.9469078179696616
0.22499999999999998,9,event,0.9550118389897395,0.930648769574944,0.9750201450443191,0.879492600422833,0.879492600422833,0.9649122807017543,0.9486581096849475
0.25,1,event,0.8717406624383368,0.9864406779661017,0.9967767929089444,0.6152219873150105,0.6152219873150105,0.9300751879699247,0.8914819136522754
0.25,2,event,0.8892882818116463,0.9876160990712074,0.9967767929089444,0.6744186046511628,0.6744186046511628,0.9399696048632219,0.9078179696616102
