threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.05,9,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.075,1,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,2,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,3,event,0.7261556465769455,1.0,1.0,0.010570824524312896,0.010570824524312896,0.8413559322033898,0.7269544924154026
0.075,4,event,0.7265807962529274,1.0,1.0,0.012684989429175475,0.012684989429175475,0.8416412343167176,0.7275379229871646
0.075,5,event,0.727432590855803,1.0,1.0,0.016913319238900635,0.016913319238900635,0.842212419409569,0.7287047841306884
0.075,7,event,0.7291421856639247,1.0,1.0,0.02536997885835095,0.02536997885835095,0.8433571185864764,0.7310385064177363
0.075,9,event,0.7325855962219598,1.0,1.0,0.042283298097251586,0.042283298097251586,0.8456558773424191,0.735705950991832
0.1,1,event,0.7304296645085344,1.0,1.0,0.03171247357293869,0.03171247357293869,0.8442176870748299,0.7327887981330222
0.1,2,event,0.7325855962219598,1.0,1.0,0.042283298097251586,0.042283298097251586,0.8456558773424191,0.735705950991832
0.1,3,event,0.7347542924807579,1.0,1.0,0.052854122621564484,0.052854122621564484,0.8470989761092149,0.7386231038506418
0.1,4,event,0.736061684460261,1.0,1.0,0.05919661733615222,0.05919661733615222,0.8479672019132217,0.7403733955659276
0.1,5,event,0.7395709177592372,1.0,1.0,0.07610993657505286,0.07610993657505286,0.8502911956149367,0.7450408401400234
0.1,7,event,0.7475903614457832,1.0,1.0,0.11416490486257928,0.11416490486257928,0.8555670458462599,0.7555425904317387
0.1,9,event,0.7593386405388854,0.9876543209876543,0.9991941982272361,0.16913319238900634,0.16913319238900634,0.8629088378566457,0.7701283547257877
0.125,1,event,0.7373737373737373,1.0,1.0,0.06553911205073996,0.06553911205073996,0.8488372093023255,0.7421236872812136
0.125,2,event,0.7395709177592372,1.0,1.0,0.07610993657505286,0.07610993657505286,0.8502911956149367,0.7450408401400234
0.125,3,event,0.7444511097780444,1.0,1.0,0.09936575052854123,0.09936575052854123,0.8535075653370013,0.751458576429405
0.125,4,event,0.7525773195876289,1.0,1.0,0.13742071881606766,0.13742071881606766,0.8588235294117647,0.7619603267211202
0.125,5,event,0.7594859241126071,1.0,1.0,0.16913319238900634,0.16913319238900634,0.8633043478260869,0.7707117852975496
0.125,7,event,0.7693738375697459,1.0,1.0,0.2135306553911205,0.2135306553911205,0.869656622284513,0.7829638273045507
0.125,9,event,0.7895408163265306,0.9794520547945206,0.9975825946817083,0.3023255813953488,0.3023255813953488,0.8814524741901033,0.8057176196032673
0.15,1,event,0.7498489425981874,1.0,1.0,0.12473572938689217,0.12473572938689217,0.8570441988950277,0.7584597432905484
0.15,2,event,0.758094074526573,1.0,1.0,0.16279069767441862,0.16279069767441862,0.862404447533009,0.7689614935822637
0.15,3,event,0.7651048088779285,1.0,1.0,0.1945031712473573,0.1945031712473573,0.8669228082431016,0.7777129521586931
0.15,4,event,0.7727272727272727,1.0,1.0,0.22832980972515857,0.22832980972515857,0.8717948717948718,0.7870478413068844
0.15,5,event,0.7805031446540881,1.0,1.0,0.26215644820295986,0.26215644820295986,0.8767220063581773,0.7963827304550758
0.15,7,event,0.8009049773755657,0.9880239520958084,0.9983883964544722,0.3488372093023256,0.3488372093023256,0.8888091822094691,0.8191365227537923
0.15,9,event,0.8241978609625669,0.963302752293578,0.9935535858178888,0.4439746300211416,0.4439746300211416,0.9009864815491414,0.8418903150525088
0.175,1,event,0.7651048088779285,1.0,1.0,0.1945031712473573,0.1945031712473573,0.8669228082431016,0.7777129521586931
0.175,2,event,0.7712865133623369,1.0,1.0,0.2219873150105708,0.2219873150105708,0.8708771929824561,0.7852975495915986
0.175,3,event,0.7824716267339218,1.0,1.0,0.27061310782241016,0.27061310782241016,0.8779625044216484,0.7987164527421237
0.175,4,event,0.7914540816326531,1.0,1.0,0.3086680761099366,0.3086680761099366,0.8835884656461375,0.809218203033839
0.175,5,event,0.8019417475728156,0.9881656804733728,0.9983883964544722,0.35306553911205074,0.35306553911205074,0.8894472361809046,0.8203033838973163
0.175,7,event,0.8284182305630027,0.9774774774774775,0.9959709911361805,0.4587737843551797,0.4587737843551797,0.9045005488474205,0.8477246207701283
0.175,9,event,0.8473177441540578,0.9653846153846154,0.9927477840451249,0.5306553911205074,0.5306553911205074,0.9142857142857143,0.8652275379229871
0.2,1,event,0.7793840351979887,0.991869918699187,0.9991941982272361,0.25792811839323465,0.25792811839323465,0.8757062146892655,0.79463243873979
0.2,2,event,0.7883026064844246,0.9929078014184397,0.9991941982272361,0.2959830866807611,0.2959830866807611,0.8813077469793886,0.8051341890315052
0.2,3,event,0.8005164622336992,0.9939393939393939,0.9991941982272361,0.346723044397463,0.346723044397463,0.8888888888888888,0.8191365227537923
0.2,4,event,0.8092749836708034,0.9890710382513661,0.9983883964544722,0.38266384778012685,0.38266384778012685,0.893939393939394,0.8284714119019837
0.2,5,event,0.8242343541944075,0.9858490566037735,0.9975825946817083,0.4418604651162791,0.4418604651162791,0.9026613197229312,0.8442240373395566
0.2,7,event,0.8448393711551606,0.9800796812749004,0.9959709911361805,0.5200845665961945,0.5200845665961945,0.9142011834319526,0.8646441073512252
0.2,9,event,0.8669950738916257,0.9692832764505119,0.9927477840451249,0.6004228329809725,0.6004228329809725,0.9256198347107438,0.8844807467911319
0.22499999999999998,1,event,0.7928388746803069,0.9933333333333333,0.9991941982272361,0.3150105708245243,0.3150105708245243,0.8841354723707664,0.8103850641773629
0.22499999999999998,2,event,0.802461139896373,0.9882352941176471,0.9983883964544722,0.35517970401691334,0.35517970401691334,0.889766606822262,0.8208868144690782
0.22499999999999998,3,event,0.8119266055045872,0.9893617021276596,0.9983883964544722,0.39323467230443976,0.39323467230443976,0.8955547524394651,0.8313885647607935
0.22499999999999998,4,event,0.8214996682149966,0.9855072463768116,0.9975825946817083,0.4312896405919662,0.4312896405919662,0.9010189228529839,0.8413068844807468
0.22499999999999998,5,event,0.8364864864864865,0.9871794871794872,0.9975825946817083,0.4883720930232558,0.4883720930232558,0.9099595736861448,0.8570595099183197
0.22499999999999998,7,event,0.8611304954640614,0.9750889679715302,0.9943593875906527,0.5792811839323467,0.5792811839323467,0.9229618548990276,0.8798133022170361
0.22499999999999998,9,event,0.8869690424766019,0.9723076923076923,0.9927477840451249,0.6680761099365751,0.6680761099365751,0.9368821292775665,0.9031505250875146
0.25,1,event,0.8009049773755657,0.9880239520958084,0.9983883964544722,0.3488372093023256,0.3488372093023256,0.8888091822094691,0.8191365227537923
0.25,2,event,0.8108638743455497,0.989247311827957,0.9983883964544722,0.3890063424947146,0.3890063424947146,0.8949079089924161,0.8302217036172695
0.25,3,event,0.8238031914893617,0.9904761904761905,0.9983883964544722,0.4397463002114165,0.4397463002114165,0.9027322404371585,0.8442240373395566
0.25,4,event,0.8347943358057991,0.987012987012987,0.9975825946817083,0.4820295983086681,0.4820295983086681,0.908957415565345,0.8553092182030338
0.25,5,event,0.849691146190803,0.9883268482490273,0.9975825946817083,0.5369978858350951,0.5369978858350951,0.9177168272794662,0.8704784130688448
0.25,7,event,0.8811739441660702,0.9684542586750788,0.991941982272361,0.6490486257928119,0.6490486257928119,0.9332827899924185,0.897316219369895
0.25,9,event,0.9036055923473142,0.9633802816901409,0.9895245769540693,0.7230443974630021,0.7230443974630021,0.9446153846153846,0.9159859976662778
0.27499999999999997,1,event,0.8135259356533159,0.9895287958115183,0.9983883964544722,0.39957716701902746,0.39957716701902746,0.8965267727930535,0.8331388564760793
0.27499999999999997,2,event,0.8232558139534883,0.9904306220095693,0.9983883964544722,0.4376321353065539,0.4376321353065539,0.9024034959941735,0.8436406067677946
0.27499999999999997,3,event,0.8382949932341002,0.9915254237288136,0.9983883964544722,0.49471458773784355,0.49471458773784355,0.9113644722324384,0.8593932322053676
0.27499999999999997,4,event,0.8532046864231564,0.9885931558935361,0.9975825946817083,0.5496828752642706,0.5496828752642706,0.9197622585438335,0.8739789964994166
0.27499999999999997,5,event,0.869198312236287,0.9828767123287672,0.9959709911361805,0.6067653276955602,0.6067653276955602,0.928276380022531,0.8885647607934656
0.27499999999999997,7,event,0.8983918128654971,0.9653179190751445,0.9903303787268332,0.7061310782241015,0.7061310782241015,0.9421234189344576,0.911901983663944
0.27499999999999997,9,event,0.9166666666666666,0.9476439790575916,0.983883964544722,0.7653276955602537,0.7653276955602537,0.9490866692576759,0.9235705950991832
0.3,1,event,0.826,0.9906542056074766,0.9983883964544722,0.44820295983086683,0.44820295983086683,0.9040496169281284,0.8465577596266044
0.3,2,event,0.8394308943089431,0.9915966386554622,0.9983883964544722,0.4989429175475687,0.4989429175475687,0.9120353330879647,0.8605600933488915
0.3,3,event,0.8521320495185695,0.9923076923076923,0.9983883964544722,0.5454545454545454,0.5454545454545454,0.9194805194805196,0.8733955659276547
0.3,4,event,0.8681626928471248,0.9895833333333334,0.9975825946817083,0.6025369978858351,0.6025369978858351,0.9283839520059991,0.8885647607934656
