threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.1,2,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.1,3,event,0.7244600116754233,1.0,1.0,0.0021141649048625794,0.0021141649048625794,0.8402166553825321,0.7246207701283547
0.1,4,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.1,5,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.1,7,event,0.7257309941520468,1.0,1.0,0.008456659619450317,0.008456659619450317,0.841070823449678,0.7263710618436406
0.1,9,event,0.7292525014714538,0.8666666666666667,0.9983883964544722,0.02748414376321353,0.02748414376321353,0.8428571428571429,0.7304550758459744
0.125,1,event,0.727432590855803,1.0,1.0,0.016913319238900635,0.016913319238900635,0.842212419409569,0.7287047841306884
0.125,2,event,0.73,1.0,1.0,0.02959830866807611,0.02959830866807611,0.8439306358381503,0.7322053675612602
0.125,3,event,0.7338852749852158,1.0,1.0,0.048625792811839326,0.048625792811839326,0.8465211459754434,0.7374562427071178
0.125,4,event,0.7373737373737373,1.0,1.0,0.06553911205073996,0.06553911205073996,0.8488372093023255,0.7421236872812136
0.125,5,event,0.7417812313209803,1.0,1.0,0.08668076109936575,0.08668076109936575,0.8517501715854496,0.7479579929988331
0.125,7,event,0.7560975609756098,0.9864864864864865,0.9991941982272361,0.1543340380549683,0.1543340380549683,0.8608122179798681,0.766044340723454
0.125,9,event,0.7718204488778054,0.9727272727272728,0.9975825946817083,0.226215644820296,0.226215644820296,0.8702987697715289,0.7847141190198367
0.15,1,event,0.7440047961630696,1.0,1.0,0.09725158562367865,0.09725158562367865,0.853214162942592,0.7508751458576429
0.15,2,event,0.7512106537530266,1.0,1.0,0.13107822410147993,0.13107822410147993,0.8579329415831316,0.7602100350058343
0.15,3,event,0.7608828939301042,1.0,1.0,0.17547568710359407,0.17547568710359407,0.8642061281337047,0.7724620770128354
0.15,4,event,0.7669962917181706,1.0,1.0,0.2029598308668076,0.2029598308668076,0.8681357117873382,0.7800466744457409
0.15,5,event,0.7775689223057645,1.0,1.0,0.24947145877378435,0.24947145877378435,0.8748678181177301,0.7928821470245041
0.15,7,event,0.7952503209242618,0.9871794871794872,0.9983883964544722,0.32558139534883723,0.32558139534883723,0.8853161843515541,0.8127187864644108
0.15,9,event,0.820836098208361,0.9806763285024155,0.9967767929089444,0.42917547568710357,0.42917547568710357,0.9002911208151384,0.8401400233372228
0.175,1,event,0.7651048088779285,1.0,1.0,0.1945031712473573,0.1945031712473573,0.8669228082431016,0.7777129521586931
0.175,2,event,0.7761100687929956,1.0,1.0,0.24312896405919662,0.24312896405919662,0.8739436619718309,0.7911318553092183
0.175,3,event,0.7879365079365079,1.0,1.0,0.2938689217758985,0.2938689217758985,0.8813920454545454,0.8051341890315052
0.175,4,event,0.7969151670951157,0.9936708860759493,0.9991941982272361,0.33192389006342493,0.33192389006342493,0.8866642831605291,0.8150525087514586
0.175,5,event,0.8057179987004548,0.9942857142857143,0.9991941982272361,0.3678646934460888,0.3678646934460888,0.8920863309352518,0.8249708284714119
0.175,7,event,0.8364864864864865,0.9871794871794872,0.9975825946817083,0.4883720930232558,0.4883720930232558,0.9099595736861448,0.8570595099183197
0.175,9,event,0.8594293667362561,0.9783393501805054,0.9951651893634166,0.572938689217759,0.572938689217759,0.9223300970873787,0.8786464410735122
0.2,1,event,0.7854430379746835,1.0,1.0,0.2832980972515856,0.2832980972515856,0.8798298475717831,0.8022170361726955
0.2,2,event,0.7939859245041587,1.0,1.0,0.3192389006342495,0.3192389006342495,0.8851640513552069,0.8121353558926487
0.2,3,event,0.8074170461938842,1.0,1.0,0.37420718816067655,0.37420718816067655,0.8934485241180705,0.8273045507584598
0.2,4,event,0.8183619550858653,0.99,0.9983883964544722,0.4186046511627907,0.4186046511627907,0.8994555353901995,0.838389731621937
0.2,5,event,0.8303152246814218,0.9865470852017937,0.9975825946817083,0.46511627906976744,0.46511627906976744,0.9062957540263543,0.8506417736289381
0.2,7,event,0.8641456582633054,0.9755244755244755,0.9943593875906527,0.5898520084566596,0.5898520084566596,0.9246908954664668,0.882730455075846
0.2,9,event,0.8854466858789626,0.9631901840490797,0.9903303787268332,0.6638477801268499,0.6638477801268499,0.9349562571319895,0.9002333722287048
0.22499999999999998,1,event,0.8041504539559015,0.9941860465116279,0.9991941982272361,0.36152219873150104,0.36152219873150104,0.8911246855910887,0.823220536756126
0.22499999999999998,2,event,0.8147174770039421,0.9947916666666666,0.9991941982272361,0.40380549682875266,0.40380549682875266,0.897575099529497,0.8348891481913653
0.22499999999999998,3,event,0.8258839226150767,0.986046511627907,0.9975825946817083,0.44820295983086683,0.44820295983086683,0.9036496350364963,0.8459743290548425
0.22499999999999998,4,event,0.8369418132611637,0.9830508474576272,0.9967767929089444,0.4904862579281184,0.4904862579281184,0.9098933431408607,0.8570595099183197
0.22499999999999998,5,event,0.8536922015182885,0.9849056603773585,0.9967767929089444,0.5517970401691332,0.5517970401691332,0.9197026022304834,0.8739789964994166
0.22499999999999998,7,event,0.884255930984903,0.9659442724458205,0.9911361804995971,0.6596194503171248,0.6596194503171248,0.9346504559270516,0.8996499416569428
0.22499999999999998,9,event,0.9033923303834809,0.9553072625698324,0.9871071716357775,0.7230443974630021,0.7230443974630021,0.9433962264150944,0.9142357059509918
0.25,1,event,0.8162055335968379,0.9897959183673469,0.9983883964544722,0.41014799154334036,0.41014799154334036,0.8981515041681769,0.8360560093348891
0.25,2,event,0.8293172690763052,0.990909090909091,0.9983883964544722,0.4608879492600423,0.4608879492600423,0.906032906764168,0.8500583430571762
0.25,3,event,0.8427501701837985,0.9877551020408163,0.9975825946817083,0.5116279069767442,0.5116279069767442,0.9136531365313653,0.8634772462077013
0.25,4,event,0.8560553633217993,0.9851301115241635,0.9967767929089444,0.5602536997885835,0.5602536997885835,0.921072226358898,0.8763127187864644
0.25,5,event,0.8720848056537103,0.9765886287625418,0.9943593875906527,0.6173361522198731,0.6173361522198731,0.9292168674698795,0.8903150525087514
0.25,7,event,0.9030124908155768,0.9660056657223796,0.9903303787268332,0.7209302325581395,0.7209302325581395,0.9446579554189085,0.9159859976662778
0.25,9,event,0.9231348907309721,0.958656330749354,0.9871071716357775,0.7843551797040169,0.7843551797040169,0.95404984423676,0.9311551925320887
0.27499999999999997,1,event,0.832102081934184,0.9911111111111112,0.9983883964544722,0.4714587737843552,0.4714587737843552,0.9076923076923077,0.852975495915986
0.27499999999999997,2,event,0.8456284153005464,0.988,0.9975825946817083,0.5221987315010571,0.5221987315010571,0.9153419593345655,0.8663943990665111
0.27499999999999997,3,event,0.8638268156424581,0.9858156028368794,0.9967767929089444,0.587737843551797,0.587737843551797,0.9255518144407033,0.8838973162193698
0.27499999999999997,4,event,0.8783783783783784,0.9805194805194806,0.9951651893634166,0.638477801268499,0.638477801268499,0.933131847374386,0.896732788798133
0.27499999999999997,5,event,0.8908959537572254,0.9757575757575757,0.9935535858178888,0.6807610993657506,0.6807610993657506,0.9394285714285714,0.9072345390898483
0.27499999999999997,7,event,0.9176646706586826,0.9603174603174603,0.9879129734085415,0.7674418604651163,0.7674418604651163,0.9514939852541714,0.927071178529755
0.27499999999999997,9,event,0.9324635456638527,0.9367396593673966,0.9790491539081386,0.813953488372093,0.813953488372093,0.9551886792452831,0.9334889148191365
0.3,1,event,0.8527185134205093,0.9923371647509579,0.9983883964544722,0.547568710359408,0.547568710359408,0.9198218262806237,0.8739789964994166
0.3,2,event,0.8639218422889045,0.9893238434163701,0.9975825946817083,0.587737843551797,0.587737843551797,0.9259536275243082,0.8844807467911319
0.3,3,event,0.8772178850248403,0.9836065573770492,0.9959709911361805,0.6342494714587738,0.6342494714587738,0.9328301886792452,0.8961493582263711
0.3,4,event,0.8916967509025271,0.9817629179331308,0.9951651893634166,0.6828752642706131,0.6828752642706131,0.9405940594059405,0.9089848308051341
0.3,5,event,0.9098966026587888,0.975,0.9927477840451249,0.7420718816067653,0.7420718816067653,0.9495183044315991,0.9235705950991832
0.3,7,event,0.9327731092436975,0.9506172839506173,0.983883964544722,0.813953488372093,0.813953488372093,0.9576470588235294,0.9369894982497082
