threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,video,0.6243447874199185,1.0,1.0,0.004629629629629629,0.004629629629629629,0.7687343133739692,0.625
0.05,3,video,0.6258026853473438,1.0,1.0,0.010802469135802469,0.010802469135802469,0.7698384201077199,0.6273255813953489
0.05,5,video,0.6265341905318527,1.0,1.0,0.013888888888888888,0.013888888888888888,0.7703916636722961,0.6284883720930232
0.1,1,video,0.6343195266272189,1.0,1.0,0.046296296296296294,0.046296296296296294,0.776249094858798,0.6406976744186047
0.1,3,video,0.6377156454491374,1.0,1.0,0.06018518518518518,0.06018518518518518,0.7787867780602978,0.6459302325581395
0.1,5,video,0.6423007789095266,1.0,1.0,0.0787037037037037,0.0787037037037037,0.7821962787303903,0.6529069767441861
0.15,1,video,0.6584766584766585,1.0,1.0,0.1419753086419753,0.1419753086419753,0.7940740740740742,0.6767441860465117
0.15,3,video,0.6687461010605116,1.0,1.0,0.18055555555555555,0.18055555555555555,0.8014953271028038,0.6912790697674419
0.15,5,video,0.6797717184527584,1.0,1.0,0.22067901234567902,0.22067901234567902,0.8093620234050586,0.7063953488372093
0.2,1,video,0.6965562053281351,1.0,1.0,0.279320987654321,0.279320987654321,0.8211413251627728,0.7284883720930233
0.2,3,video,0.7111553784860558,0.9953271028037384,0.9990671641791045,0.3287037037037037,0.3287037037037037,0.8308766485647788,0.7465116279069768
0.2,5,video,0.7275815217391305,0.9959677419354839,0.9990671641791045,0.38117283950617287,0.38117283950617287,0.8419811320754716,0.7662790697674419
0.25,1,video,0.7377501725327812,0.988929889298893,0.9972014925373134,0.41358024691358025,0.41358024691358025,0.8480761602538675,0.7773255813953488
0.25,3,video,0.7618025751072961,0.9782608695652174,0.9934701492537313,0.4861111111111111,0.4861111111111111,0.8623481781376519,0.8023255813953488
0.25,5,video,0.7794226498889711,0.948509485094851,0.9822761194029851,0.5401234567901234,0.5401234567901234,0.8691704498555509,0.8156976744186046
0.3,1,video,0.7809734513274337,0.9642857142857143,0.9878731343283582,0.5416666666666666,0.5416666666666666,0.8723228995057661,0.8197674418604651
0.3,3,video,0.8157076205287714,0.9470046082949308,0.9785447761194029,0.6342592592592593,0.6342592592592593,0.8897370653095843,0.8488372093023255
0.3,5,video,0.8382838283828383,0.889763779527559,0.9477611940298507,0.6975308641975309,0.6975308641975309,0.8896672504378283,0.8534883720930233
0.35,1,video,0.8168355416991426,0.9450800915331807,0.9776119402985075,0.6373456790123457,0.6373456790123457,0.8900212314225053,0.8494186046511628
0.35,3,video,0.8571428571428571,0.8919925512104283,0.9458955223880597,0.7391975308641975,0.7391975308641975,0.8993348115299336,0.8680232558139535
0.35,5,video,0.8794392523364486,0.7984615384615384,0.8777985074626866,0.8009259259259259,0.7984615384615384,0.8786181139122317,0.8488372093023255
0.39999999999999997,1,video,0.8566694283347142,0.9259259259259259,0.9645522388059702,0.7330246913580247,0.7330246913580247,0.9074155331285652,0.8773255813953489
0.39999999999999997,3,video,0.8951762523191095,0.8333333333333334,0.9001865671641791,0.8256172839506173,0.8256172839506173,0.8976744186046511,0.872093023255814
0.39999999999999997,5,video,0.9203444564047363,0.7256637168141593,0.7975746268656716,0.8858024691358025,0.7256637168141593,0.8545727136431783,0.8308139534883721
0.44999999999999996,1,video,0.8902877697841727,0.8651315789473685,0.9235074626865671,0.8117283950617284,0.8117283950617284,0.9065934065934066,0.8813953488372093
0.44999999999999996,3,video,0.9257731958762887,0.768,0.8376865671641791,0.8888888888888888,0.768,0.8795298726738492,0.8569767441860465
0.44999999999999996,5,video,0.9433497536945813,0.6629955947136564,0.7145522388059702,0.9290123456790124,0.6629955947136564,0.8131634819532909,0.7953488372093023
0.49999999999999994,1,video,0.9245472837022133,0.7892561983471075,0.8572761194029851,0.8842592592592593,0.7892561983471075,0.8896418199419168,0.8674418604651163
0.49999999999999994,3,video,0.9487776484284052,0.7015098722415796,0.7602611940298507,0.9320987654320988,0.7015098722415796,0.8441222164681512,0.825
0.49999999999999994,5,video,0.9624277456647399,0.6050583657587548,0.621268656716418,0.9598765432098766,0.6050583657587548,0.7551020408163266,0.7488372093023256
0.5499999999999999,1,video,0.9426681367144433,0.7330873308733087,0.7975746268656716,0.9197530864197531,0.7330873308733087,0.8640727640222334,0.8436046511627907
0.5499999999999999,3,video,0.9629139072847682,0.6424870466321243,0.6781716417910447,0.9567901234567902,0.6424870466321243,0.79584017515052,0.7831395348837209
0.5499999999999999,5,video,0.9656862745098039,0.5658844765342961,0.5513059701492538,0.9675925925925926,0.5513059701492538,0.7019002375296913,0.708139534883721
0.6,1,video,0.9611650485436893,0.6875,0.7388059701492538,0.9506172839506173,0.6875,0.8354430379746836,0.8186046511627907
0.6,3,video,0.9710982658959537,0.6108949416342413,0.6268656716417911,0.9691358024691358,0.6108949416342413,0.761904761904762,0.7558139534883721
0.6,5,video,0.9725274725274725,0.5391822827938672,0.49533582089552236,0.9768518518518519,0.49533582089552236,0.6563658838071693,0.6767441860465117
0.65,1,video,0.9701897018970189,0.6374745417515275,0.667910447761194,0.9660493827160493,0.6374745417515275,0.791160220994475,0.7802325581395348
0.65,3,video,0.9736408566721582,0.5678346810422282,0.5513059701492538,0.9753086419753086,0.5513059701492538,0.7039904705181657,0.711046511627907
0.65,5,video,0.9764957264957265,0.5087859424920128,0.42630597014925375,0.9830246913580247,0.42630597014925375,0.5935064935064935,0.6360465116279069
0.7,1,video,0.9781591263650546,0.58758109360519,0.5848880597014925,0.9783950617283951,0.5848880597014925,0.7320490367775832,0.733139534883721
0.7,3,video,0.9792060491493384,0.5348446683459278,0.4832089552238806,0.9830246913580247,0.4832089552238806,0.6470955652717052,0.6715116279069767
0.7,5,video,0.9830508474576272,0.4904361132364193,0.3787313432835821,0.9891975308641975,0.3787313432835821,0.5468013468013467,0.6087209302325581
0.75,1,video,0.9781021897810219,0.5426621160409556,0.5,0.9814814814814815,0.5,0.6617283950617284,0.6813953488372093
0.75,3,video,0.9838709677419355,0.4984447900466563,0.3983208955223881,0.9891975308641975,0.3983208955223881,0.5670650730411687,0.6209302325581395
0.75,5,video,0.9942363112391931,0.47050254916241807,0.3218283582089552,0.9969135802469136,0.3218283582089552,0.4862579281183932,0.5761627906976744
0.7999999999999999,1,video,0.9889380530973452,0.5070977917981072,0.41697761194029853,0.9922839506172839,0.41697761194029853,0.5866141732283465,0.6337209302325582
0.7999999999999999,3,video,0.9886685552407932,0.47110460863204096,0.3255597014925373,0.9938271604938271,0.3255597014925373,0.4898245614035088,0.5773255813953488
0.7999999999999999,5,video,0.9964285714285714,0.44930555555555557,0.26026119402985076,0.9984567901234568,0.26026119402985076,0.4127218934911243,0.5383720930232558
0.85,1,video,0.9939577039274925,0.46508279337652986,0.3069029850746269,0.9969135802469136,0.3069029850746269,0.4689950106913756,0.5668604651162791
0.85,3,video,0.9959677419354839,0.43953804347826086,0.23041044776119404,0.9984567901234568,0.23041044776119404,0.37424242424242427,0.5197674418604651
0.85,5,video,1.0,0.42575558475689884,0.18470149253731344,1.0,0.18470149253731344,0.31181102362204727,0.49186046511627907
0.9,1,video,1.0,0.4311377245508982,0.20242537313432835,1.0,0.20242537313432835,0.33669511249030254,0.502906976744186
0.9,3,video,1.0,0.42023346303501946,0.166044776119403,1.0,0.166044776119403,0.2848,0.48023255813953486
0.9,5,video,1.0,0.41012658227848103,0.13059701492537312,1.0,0.13059701492537312,0.231023102310231,0.45813953488372094
0.95,1,video,1.0,0.39901477832512317,0.08955223880597014,1.0,0.08955223880597014,0.1643835616438356,0.4325581395348837
0.95,3,video,1.0,0.3939209726443769,0.06996268656716417,1.0,0.06996268656716417,0.13077593722755013,0.42034883720930233
0.95,5,video,1.0,0.3901264298615292,0.05503731343283582,1.0,0.05503731343283582,0.10433244916003535,0.41104651162790695
