threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,video,0.6294773928361714,1.0,1.0,0.026234567901234566,0.026234567901234566,0.7726126126126126,0.6331395348837209
0.05,3,video,0.6324483775811209,1.0,1.0,0.038580246913580245,0.038580246913580245,0.7748464040477051,0.6377906976744186
0.05,5,video,0.6354475400118553,1.0,1.0,0.05092592592592592,0.05092592592592592,0.7770931496919173,0.6424418604651163
0.1,1,video,0.6354475400118553,1.0,1.0,0.05092592592592592,0.05092592592592592,0.7770931496919173,0.6424418604651163
0.1,3,video,0.6411483253588517,1.0,1.0,0.07407407407407407,0.07407407407407407,0.7813411078717202,0.6511627906976745
0.1,5,video,0.6438438438438439,1.0,1.0,0.08487654320987655,0.08487654320987655,0.783339422725612,0.6552325581395348
0.15,1,video,0.6568627450980392,1.0,1.0,0.13580246913580246,0.13580246913580246,0.7928994082840237,0.6744186046511628
0.15,3,video,0.6687461010605116,1.0,1.0,0.18055555555555555,0.18055555555555555,0.8014953271028038,0.6912790697674419
0.15,5,video,0.6776232616940582,1.0,1.0,0.21296296296296297,0.21296296296296297,0.8078372268274303,0.7034883720930233
0.2,1,video,0.6900773195876289,0.9940476190476191,0.9990671641791045,0.25771604938271603,0.25771604938271603,0.8163109756097562,0.7197674418604652
0.2,3,video,0.7055335968379447,0.995049504950495,0.9990671641791045,0.3101851851851852,0.3101851851851852,0.827027027027027,0.7395348837209302
0.2,5,video,0.7142857142857143,0.990990990990991,0.9981343283582089,0.3395061728395062,0.3395061728395062,0.8326848249027237,0.75
0.25,1,video,0.719758064516129,0.9956896551724138,0.9990671641791045,0.35648148148148145,0.35648148148148145,0.83671875,0.7569767441860465
0.25,3,video,0.7364074328974536,0.9925093632958801,0.9981343283582089,0.4089506172839506,0.4089506172839506,0.8475247524752474,0.7761627906976745
0.25,5,video,0.7487684729064039,0.9732441471571907,0.9925373134328358,0.44907407407407407,0.44907407407407407,0.8535900521460089,0.7877906976744186
0.3,1,video,0.7505285412262156,0.9767441860465116,0.9934701492537313,0.4537037037037037,0.4537037037037037,0.8550782818145323,0.7901162790697674
0.3,3,video,0.7794117647058824,0.9666666666666667,0.9888059701492538,0.5370370370370371,0.5370370370370371,0.8717105263157895,0.8186046511627907
0.3,5,video,0.7954545454545454,0.945,0.9794776119402985,0.5833333333333334,0.5833333333333334,0.8779264214046821,0.8302325581395349
0.35,1,video,0.7890800299177263,0.9556135770234987,0.9841417910447762,0.5648148148148148,0.5648148148148148,0.8758821087588212,0.8261627906976744
0.35,3,video,0.8293269230769231,0.9216101694915254,0.9654850746268657,0.6712962962962963,0.6712962962962963,0.892241379310345,0.8546511627906976
0.35,5,video,0.8653675819309123,0.8392554991539763,0.9113805970149254,0.7654320987654321,0.7654320987654321,0.8877782825988187,0.8563953488372092
0.39999999999999997,1,video,0.8310756972111554,0.9376344086021505,0.9729477611940298,0.6728395061728395,0.6728395061728395,0.8964331757627846,0.8598837209302326
0.39999999999999997,3,video,0.8754448398576512,0.8523489932885906,0.917910447761194,0.7839506172839507,0.7839506172839507,0.8961748633879781,0.8674418604651163
0.39999999999999997,5,video,0.9104781281790437,0.7598371777476255,0.8348880597014925,0.8641975308641975,0.7598371777476255,0.8710462287104622,0.8459302325581395
0.44999999999999996,1,video,0.8693035253654342,0.8904847396768402,0.9430970149253731,0.7654320987654321,0.7654320987654321,0.9046979865771811,0.8761627906976744
