threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,video,0.6331955109273479,1.0,1.0,0.041666666666666664,0.041666666666666664,0.7754068716094032,0.638953488372093
0.05,3,video,0.6362017804154303,1.0,1.0,0.05401234567901234,0.05401234567901234,0.7776568734131303,0.6436046511627908
0.05,5,video,0.638095238095238,1.0,1.0,0.06172839506172839,0.06172839506172839,0.7790697674418604,0.6465116279069767
0.1,1,video,0.6552567237163814,1.0,1.0,0.12962962962962962,0.12962962962962962,0.7917282127031019,0.672093023255814
0.1,3,video,0.6613201727328809,1.0,1.0,0.1527777777777778,0.1527777777777778,0.7961381359079094,0.6808139534883721
0.1,5,video,0.6687461010605116,1.0,1.0,0.18055555555555555,0.18055555555555555,0.8014953271028038,0.6912790697674419
0.15,1,video,0.6990861618798956,0.9946808510638298,0.9990671641791045,0.28858024691358025,0.28858024691358025,0.8225806451612904,0.7313953488372092
0.15,3,video,0.7111553784860558,0.9953271028037384,0.9990671641791045,0.3287037037037037,0.3287037037037037,0.8308766485647788,0.7465116279069768
0.15,5,video,0.7224848075624578,0.9916317991631799,0.9981343283582089,0.36574074074074076,0.36574074074074076,0.8382295338817078,0.7598837209302326
0.2,1,video,0.7338376891334251,0.981203007518797,0.9953358208955224,0.4027777777777778,0.4027777777777778,0.8448139350752178,0.772093023255814
0.2,3,video,0.7440725244072525,0.9825174825174825,0.9953358208955224,0.43364197530864196,0.43364197530864196,0.8515562649640862,0.7837209302325582
0.2,5,video,0.7587188612099645,0.9809523809523809,0.9944029850746269,0.47685185185185186,0.47685185185185186,0.860718611223254,0.7994186046511628
0.25,1,video,0.7717391304347826,0.9794117647058823,0.9934701492537313,0.5138888888888888,0.5138888888888888,0.8686786296900489,0.8127906976744186
0.25,3,video,0.7934377330350485,0.978891820580475,0.9925373134328358,0.5725308641975309,0.5725308641975309,0.8818897637795275,0.8343023255813954
0.25,5,video,0.8158096699923254,0.9784172661870504,0.9916044776119403,0.6296296296296297,0.6296296296296297,0.895157894736842,0.8552325581395349
0.3,1,video,0.8212074303405573,0.9742990654205608,0.9897388059701493,0.6435185185185185,0.6435185185185185,0.897631133671743,0.8593023255813953
0.3,3,video,0.844551282051282,0.961864406779661,0.9832089552238806,0.7006172839506173,0.7006172839506173,0.9086206896551724,0.8767441860465116
0.3,5,video,0.8658940397350994,0.94921875,0.9757462686567164,0.75,0.75,0.9175438596491229,0.8906976744186047
0.35,1,video,0.8600654664484452,0.9578313253012049,0.980410447761194,0.7361111111111112,0.7361111111111112,0.9163034001743678,0.8883720930232558
0.35,3,video,0.8826530612244898,0.9375,0.9682835820895522,0.7870370370370371,0.7870370370370371,0.9234875444839858,0.9
0.35,5,video,0.9037102473498233,0.9166666666666666,0.9542910447761194,0.8317901234567902,0.8317901234567902,0.9283121597096188,0.9081395348837209
